year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,51324071.33515558,34576726.10192157,9821935.123172225,28.406203335215068,23307625.33461273,94614443217.09058,92577733089.12971
2025,51101743.71327928,34147273.84569567,10146297.756500587,29.713346378248428,23079545.56650692,93864939375.50003,89867283151.77641
2026,50892519.27402918,33721597.08743201,10472964.586173838,31.05714287202932,22854366.961716138,93127540581.52133,87241966504.40675
2027,50695904.96602787,33299650.217665516,10801811.820207912,32.43821406411511,22632057.864674475,92402121702.9909,84699015093.2507
2028,50511412.93939484,32881388.174934514,11132715.656029398,33.857194826451604,22412587.003775574,91688559121.45969,82235752138.12515
2029,50331487.47664634,32466766.457787577,11458479.286688063,35.29294887307633,22195923.498191666,90986730757.9804,79849589147.91125
2030,50155851.481740825,32055745.248188682,11779174.58077412,36.74590776029362,21982039.684269425,90296527681.56107,77538032977.15427
2031,49980708.62424383,31648015.00019584,12094766.893700741,38.21651024124545,21770722.390876032,89617077363.37308,75312767610.12086
2032,49805891.624683484,31243547.34342015,12405314.068694439,39.705203549196156,21561950.12869308,88948291461.69916,73170253099.82889
2033,49631233.86298559,30842314.195510432,12710871.665807959,41.21244464741955,21355701.632796362,88290082583.85384,71107108088.72554
2034,49456569.6291036,30444287.756931394,13011493.254027512,42.73870145332969,21046112.04012903,86986132594.91931,68602558005.81514
2035,49281690.61078767,30049440.50562514,13307230.67122385,44.28445404410371,20738734.31428348,85692201769.9342,66192052312.05053
2036,49106387.41812986,29657745.216128144,13598134.26649937,45.850195850710136,20433549.156550102,84408203019.07346,63871709244.479935
2037,48930449.77775771,29269174.954507284,13884253.10754237,47.436434846976354,20130537.46680831,83134050130.95717,61637818363.363075
2038,48753666.7036957,28883703.07319281,14165635.164853074,49.0436947400983,19829680.339179955,81869657753.98608,59486832501.11082
2039,48573772.87604392,28501303.2057336,14442327.475248821,50.672516168816664,19530959.05760123,80614941377.37817,57415360109.50243
2040,48390600.26779942,28121950.38641984,14714376.875413863,52.32345791534955,19234355.860732663,79369820486.88776,55420160201.46374
2041,48198256.56884479,27745448.013813566,14981736.792592378,53.997098137083434,18939735.81451439,78133731238.6838,53487311797.232254
2042,47996856.22523743,27248493.813213695,15244449.030734396,55.946024522433824,18585444.84098787,76721692396.28253,51490867603.76622
2043,47786508.48624427,26761592.515157443,15502555.114458043,57.92837293101142,18236732.308455825,75329432910.36063,49565165601.85908
2044,47567317.515070565,26284407.611343265,15756096.363233801,59.94465082193491,17893426.912484944,73956419574.90337,47707600012.57288
2045,47339166.77448984,25816606.380507633,16004898.241752945,61.99458598802187,17554538.246108178,72597330264.77081,45912629888.96079
2046,47103348.32847865,25359271.589479245,16248816.700291893,64.07446145666506,17221034.78504847,71256425240.18057,44180983495.67163
2047,46859759.479599595,24912071.613620415,16487734.47349763,66.18371498451832,16892752.358753797,69933205314.927,42510343142.34689
2048,46608318.726686604,24474678.66132936,16721558.587497318,68.32187183694397,16569528.662964165,68627176816.64494,40898477202.92604
2049,46323303.67981482,24043678.36255211,16924558.27215091,70.39088619032108,16249658.051538719,67333215955.16022,39340528560.04968
2050,46007829.34675847,23616183.055315897,17102510.476621572,72.4186056508902,15931968.414401762,66047165334.727196,37832482872.49617
