year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,51086371.29082442,34576726.10192157,9584235.078841072,27.71874656550678,23307625.33461273,94614443217.09058,92577733089.12971
2025,50673718.231798515,34147409.498422444,9718110.670035947,28.45929109347199,23079637.25181399,93865312261.34239,89867640156.61551
2026,50314478.295299694,33721977.680566445,9894470.576438764,29.34131168155308,22854624.90368534,93128591649.84648,87242951146.18988
2027,50002030.636508524,33300361.879867237,10107090.964841407,30.351294683533037,22632541.544833988,92404096471.40265,84700825235.014
2028,49730579.840799995,32882496.85730387,10350564.511960624,31.477428727136193,22413342.703015827,91691650642.06177,82238524932.51083
2029,49487979.84619351,32468320.675266642,10613124.734605923,32.687630631573356,22196986.03986209,90991086386.29626,79853411629.8117
2030,49269990.565814175,32057778.716979977,10890897.965194251,33.972715518888066,21983434.12359134,90302255677.263,77542951632.7331
2031,49069400.57135236,31650544.03346139,11180455.15364524,35.32468554671638,21772462.117084496,89624238778.38797,75318785949.48924
2032,48883105.16608528,31246577.642352026,11478929.277767595,36.736596913605354,21564041.413454257,88956918520.26096,73177349852.87608
2033,48708416.74015313,30845842.867686804,11783865.061364485,38.20244145025103,21358144.940703817,88300183860.81657,71115243459.89978
2034,48543011.28372032,30448305.04618687,12093165.877611645,39.71704125818361,21048889.189013045,86997610887.94562,68611610486.24684
2035,48384837.70223818,30053931.266016778,12405047.150278252,41.275955017256436,20741833.629447557,85705008103.06737,66201944431.230194
2036,48226084.425864965,29662690.161400225,12711961.94772167,42.855054206322876,20436956.117583644,84422276710.15834,63882358810.195335
2037,48066527.504254706,29274555.1998456,13013945.186124714,44.45480075541285,20134237.852300297,83149331791.14641,61649148596.80595
2038,47905944.17156585,28889500.14150947,13311032.590435928,46.07567637111921,19833660.230931804,81886089303.56473,59498771733.10878
2039,47742058.61322912,28507499.032234814,13603260.65974091,47.71818336066255,19535204.843586862,80632466056.39282,57427841489.99143
2040,47574694.15986896,28128527.361657944,13890667.209208718,49.382845502758585,19238854.26430989,79388382974.08446,55433121500.958534
2041,47397949.911717854,27752385.993462037,14173201.52054727,51.070208968289144,18944471.852712903,78153269226.9305,53500686743.65646
2042,47211934.07428445,27255740.60081667,14450898.650097128,53.01965138919811,18590387.67460622,76742096673.05276,51504561695.761734
2043,47016750.76367133,26769126.50801146,14723794.49292027,55.002894803137245,18241866.558814332,75350641283.90926,49579120260.8346
2044,46812499.998663165,26292208.35421812,14991925.73897429,57.02041280442348,17898737.932257645,73978372663.34946,47721761449.384544
2045,46599061.91223485,25824654.505817514,15255114.04993826,59.071899864146275,17560011.82742855,72619969870.32198,45926947823.61089
2046,46377726.4787956,25367549.222686157,15513212.367419852,61.1537686642051,17226657.717358693,71279697076.20453,44195412687.14205
2047,46148389.18881741,24920561.89365863,15766101.133750036,63.26543197953306,16898512.061138272,69957057485.65305,42524842176.92836
2048,45910967.350613534,24483365.684028033,16013685.715476114,65.4063902902157,16575413.152177515,68651559706.16562,40913008225.43724
2049,45639728.44698455,24052546.081664115,16230224.75837596,67.47819837147587,16255655.388788402,67358080552.60909,39355056106.256935
2050,45337787.83601857,23625215.53595774,16421495.69215093,69.50834233515162,15938066.996683126,66072464136.09182,37846974281.24129
2051,45007851.40696182,23201344.30936659,16590375.63768527,71.50609644195308,15622660.768096877,64794873937.95006,36387409531.278046
2052,44652461.56370951,22780743.620799717,16739361.172646437,73.48031061357779,15272364.831373587,63295769823.5576,34848573390.7626
