year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2703371329.687837,8080986155.459379,107886396329.17336,39.90809369929627
2025,10692773878.805056,2857053902.100031,7835719976.705025,115722116305.87839,40.504001769381645
2026,10596134172.48988,3026449308.011304,7569684864.478576,123291801170.35696,40.73810218594828
2027,10494014420.830433,3210956713.0785384,7283057707.751894,130574858878.10886,40.665406153332675
2028,10386039623.199333,3409935206.2524223,6976104416.946911,137550963295.05576,40.3382923648648
2029,10271884940.977434,3620304686.638654,6651580254.338779,144202543549.39453,39.831604251873706
2030,10151330437.467762,3841206004.8178434,6310124432.649919,150512667982.04446,39.18370110670022
2031,10059878676.246027,4025160756.6440806,6034717919.601946,156547385901.64642,38.89220713563886
2032,9967400137.890762,4216023041.599935,5751377096.290827,162298762997.93726,38.49570113742705
2033,9873584270.6512,4413049575.715755,5460534694.935444,167759297692.8727,38.014369613254054
2034,9731564797.00358,4604044343.488527,5127520453.515053,172886818146.38776,37.55107580379858
2035,9588825119.905409,4798733167.346001,4790091952.559408,177676910098.94717,37.02579491353832
2036,9445123428.217045,4994144039.892256,4450979388.324789,182127889487.27197,36.4682892668833
2037,9300294017.780203,5190152122.1214485,4110141895.6587543,186238031382.93073,35.88296200204761
2038,9154186365.966564,5386640513.062588,3767545852.9039764,190005577235.83472,35.27348386718433
2039,9006664631.278385,5583500089.201895,3423164542.0764904,193428741777.9112,34.64291908080902
2040,8857607364.019028,5780629557.3930855,3076977806.625942,196505719584.53714,33.99382673349443
2041,8745233251.577738,5950043419.056952,2795189832.5207853,199300909417.05792,33.49570673362346
2042,8621217658.52634,6123112023.063691,2498105635.4626493,201799015052.52057,32.9569366512342
2043,8497617056.0463085,6294219791.124078,2203397264.9222307,204002412317.4428,32.4110722356917
2044,8374245086.939708,6463224191.944161,1911020894.9955463,205913433212.43835,31.85924348239247
2045,8250650232.344091,6629769135.89003,1620881096.4540615,207534314308.89243,31.303399870353324
2046,8126943441.07892,6793636279.264271,1333307161.8146496,208867621470.70706,30.744598751660984
2047,8002967997.733337,6954617912.184319,1048350085.5490189,209915971556.25607,30.18368143395606
2048,7878575927.805592,7112523096.123435,766052831.6821566,210682024387.93823,29.62127806695869
2049,7753387101.436354,7255889851.97845,497497249.45790386,211179521637.39615,29.104565524766645
2050,7627315418.916628,7387050832.247736,240264586.6688919,211419786224.06503,28.620323729346005
2051,7500465699.53956,7457668538.8089485,42797160.7306118,211462583384.79565,28.355052558901736
2052,7362253894.358196,7508700244.920106,-146446350.56190968,211316137034.23373,28.142838326406274
2053,7225436458.029003,7550411981.66639,-324975523.6373873,210991161510.59634,27.944324365732186
2054,7090012540.840438,7583781292.595145,-493768751.75470734,210497392758.84164,27.75625834099049
2055,6955970539.015913,7609677034.861208,-653706495.845295,209843686262.99634,27.57589912182438
2056,6825883875.166744,7617558937.30939,-791675062.1426458,209052011200.8537,27.443438629264257
2057,6697167534.146021,7618842942.884964,-921675408.7389431,208130335792.11475,27.31784043225122
2058,6569813046.408138,7614216760.691026,-1044403714.2828875,207085932077.83185,27.197273020506685
2059,6443215762.994602,7604444583.933097,-1161228820.9384947,205924703256.89334,27.079519218534035
2060,6317399523.396603,7550178135.195006,-1232778611.7984037,204691924645.09494,27.110873542297973
2061,6193167829.185791,7370701654.196184,-1177533825.0103931,203514390820.08453,27.61126421447578
2062,6072968415.753133,7196492913.590822,-1123524497.8376894,202390866322.24686,28.123541390560504
2063,5956687799.70447,7027330272.625613,-1070642472.9211435,201320223849.3257,28.648180182103022
2064,5844282009.257653,6863009399.381698,-1018727390.1240444,200301496459.20166,29.185665471658428
2065,5735638818.507691,6703324848.731152,-967686030.2234602,199333810428.9782,29.736558338912875
2066,5651980717.012905,6573955725.873067,-921975008.8601618,198411835420.11804,30.181498582235673
2067,5570737895.742734,6448763237.552587,-878025341.8098526,197533810078.3082,30.631270338477425
2068,5491832482.806125,6327629633.702204,-835797150.8960791,196698012927.4121,31.085576165798276
2069,5414817524.060738,6209976146.883621,-795158622.8228836,195902854304.58923,31.54647452275642
2070,5339662080.424806,6095731732.764238,-756069652.3394327,195146784652.2498,32.01367665236087
2071,5281919082.911788,5864006302.246732,-582087219.3349438,194564697432.91486,33.179483002664824
2072,5228044601.357968,5640060213.152774,-412015611.7948055,194152681821.12006,34.42386685311457
2073,5177978508.974438,5423653231.547928,-245674722.57349014,193907007098.54657,35.75210265483822
2074,5132591889.98585,5210210609.271484,-77618719.28563404,193829388379.26093,37.20183365224137
2075,5091195896.496635,5003838191.5124035,87357704.98423195,193916746084.24515,38.753600468770166
2076,5053725528.122875,4805767189.0103,247958339.11257553,194164704423.35773,40.40243665306309
2077,5020089399.705961,4615626891.532953,404462508.17300797,194569166931.53073,42.15444001516985
2078,4990201433.565462,4433066260.546232,557135173.0192299,195126302104.54996,44.01610321983027
2079,4963960449.008866,4257724096.5826344,706236352.4262319,195832538456.9762,45.994652075778404
2080,4941293461.288449,4089288281.022977,852005180.2654724,196684543637.24167,48.097500132233044
2081,4922147511.207989,3927383788.964514,994763722.243475,197679307359.48514,50.333585404854176
2082,4906458993.050884,3771733889.803259,1134725103.2476254,198814032462.73276,52.711574642161004
2083,4894168091.679373,3622074512.236285,1272093579.4430876,200086126042.17584,55.240753707919104
2084,4890874005.951999,3484850082.4806013,1406023923.4713974,201492149965.64725,57.819460004494715
2085,4890590004.170559,3352807687.38446,1537782316.786099,203029932282.43335,60.55519767697082
2086,4893285997.068068,3225620133.679216,1667665863.3888516,204697598145.8222,63.45992077881144
2087,4898936528.126945,3103123427.7064557,1795813100.4204888,206493411246.2427,66.54373119759006
2088,4907517645.876228,2985158101.666766,1922359544.2094622,208415770790.45218,69.8173308388869
2089,4922945853.563109,2841181886.8804655,2081763966.682644,210497534757.13483,74.0880179931933
2090,4941581368.641293,2704322564.64227,2237258803.9990225,212734793561.13385,78.66472599923544
2091,4963517175.2990055,2574232037.891557,2389285137.4074483,215124078698.5413,83.56825473850452
