year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2703371329.687837,8080986155.459379,105563988580.40445,39.04901536134664
2025,10636704320.299063,2857053902.100031,7779650418.199032,108516395654.31686,37.98192101820468
2026,10425255654.18142,3026449308.011304,7398806346.170115,108589468884.61711,35.8801545418819
2027,10151660111.891064,3210956713.0785384,6940703398.812525,105898994802.44649,32.98051150023593
2028,9822019872.898478,3409935206.2524223,6412084666.646055,100732154393.99234,29.5407825372432
2029,9446091655.625011,3620304686.638654,5825786968.986357,93514820978.8248,25.830649371572797
2030,9036200540.915228,3841206004.8178434,5194994536.097384,84762560943.16882,22.066653242980237
2031,8626526342.798538,4025160756.6440806,4601365586.154457,75100023672.29085,18.65764579671208
2032,8208137113.736681,4216023041.599935,3992114072.136746,65062427190.726234,15.43218017281892
2033,7792726684.376883,4413049575.715755,3379677108.661127,55121934036.183266,12.490667301702135
2034,7343652687.481764,4604044343.488527,2739608343.9932365,45633133684.96436,9.911532183547067
2035,6916497746.215518,4798733167.346001,2117764578.8695173,36884686010.437675,7.686338190551489
2036,6516645167.176048,4994144039.892256,1522501127.2837925,29062728526.569256,5.81936129483287
2037,6147151701.989727,5190152122.1214485,956999579.8682785,22257432970.333717,4.288397034735873
2038,5808982158.349585,5386640513.062588,422341645.28699684,16479218195.543106,3.0592756571709305
2039,5501432178.664495,5583500089.201895,-82067910.53739929,11678334962.44926,2.091579614198334
2040,5222599227.70979,5780629557.3930855,-558030329.6832952,7764778356.009798,1.3432409530687022
2041,4970414427.007192,5950043419.056952,-979628992.0497608,4644849207.473176,0.780641229036503
2042,4728096454.334646,6123112023.063691,-1395015568.729045,2181087882.7139635,0.35620577812369647
2043,4505258512.650177,6294219791.124078,-1788961278.4739008,258010970.28277522,0.040991731913558954
2044,4299357059.996507,6463224191.944161,-2163867131.9476547,0.0,0.0
2045,4132381568.0953236,6629769135.89003,-2497387567.7947063,0.0,0.0
2046,3976257154.901072,6793636279.264271,-2817379124.3631988,0.0,0.0
2047,3825615568.3191967,6954617912.184319,-3129002343.865122,0.0,0.0
2048,3680256496.6804695,7112523096.123435,-3432266599.4429655,0.0,0.0
2049,3539746613.677589,7255889851.97845,-3716143238.300861,0.0,0.0
2050,3403724986.1687055,7387050832.247736,-3983325846.0790305,0.0,0.0
2051,3272069975.05826,7457668538.8089485,-4185598563.7506886,0.0,0.0
2052,3133002226.662283,7508700244.920106,-4375698018.257823,0.0,0.0
2053,2999113717.344329,7550411981.66639,-4551298264.322062,0.0,0.0
2054,2870189310.628511,7583781292.595145,-4713591981.966635,0.0,0.0
2055,2746022683.83908,7609677034.861208,-4863654351.022128,0.0,0.0
2056,2629010149.9068174,7617558937.30939,-4988548787.402573,0.0,0.0
2057,2516127310.1289463,7618842942.884964,-5102715632.756018,0.0,0.0
2058,2407206330.5658426,7614216760.691026,-5207010430.125183,0.0,0.0
2059,2301497121.4379644,7604444583.933097,-5302947462.495132,0.0,0.0
2060,2198905458.258736,7550178135.195006,-5351272676.93627,0.0,0.0
2061,2099329336.2838924,7370701654.196184,-5271372317.912292,0.0,0.0
2062,2002680599.3514416,7196492913.590822,-5193812314.239381,0.0,0.0
