year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10777345418.459183,2701096218.1663833,8076249200.292799,105733206317.42975,40.00573401630557
2025,10683210200.672905,2852200723.0327883,7831009477.640117,111288158516.22108,40.754039510956396
2026,10588201662.669847,3018669927.150631,7569531735.519217,116462054745.52028,41.18333449842281
2027,10491583675.311377,3199858818.0366116,7291724857.274765,121246768639.58423,41.33737922922214
2028,10392635806.85345,3395083633.4167814,6997552173.436669,125634312094.75197,41.25838917750734
2029,10290656159.585077,3601235702.757766,6689420456.8273115,129619275735.44958,41.01317755079918
2030,10185024212.553062,3817423623.866413,6367600588.686649,133196637511.82715,40.63302685631893
2031,10111919821.059017,3996506290.0806417,6115413530.978375,136470314208.04544,40.63309088429625
2032,10040596856.301308,4182087035.4815607,5858509820.819747,139443390603.9496,40.532922705145864
2033,9970460520.183992,4373409345.248428,5597051174.935564,142118874754.28702,40.34879212927036
2034,9854811558.11504,4558380209.432214,5296431348.682826,144464933849.9431,40.184781340563546
2035,9740244939.979483,4746636098.326478,4993608841.653005,146487177744.6335,39.952975509771136
2036,9626176891.688198,4935228883.921342,4690948007.766856,148193277303.05832,39.68234420838088
2037,9512108391.92334,5124031805.123362,4388076586.799978,149590190346.41034,39.375218640782926
2038,9397551698.541386,5312926344.445734,4084625354.0956516,150684184690.0525,39.033366351487125
2039,9282029741.84,5501802029.688857,3780227712.151143,151480859637.3153,38.65807740063797
2040,9165075576.660316,5690556226.676699,3474519349.983618,151985166053.23392,38.25023473458451
2041,9088836198.350075,5851700352.795832,3237135845.554243,152242200603.6267,38.00500260905409
2042,9002385240.491417,6015992712.130641,2986392528.360776,152243451943.6811,37.70676599482456
2043,8916951644.693127,6178032461.611464,2738919183.081663,151997205402.37686,37.3915573431351
2044,8832123721.287153,6337684040.961423,2494439680.3257303,151511307721.87167,37.0597743681122
2045,8747221170.558928,6494602979.575203,2252618190.9837246,150793115957.52457,36.712789825622586
2046,8662104802.502129,6648580752.001626,2013524050.5005026,149849912244.15204,36.35098611841996
2047,8576366159.684477,6799419963.172163,1776946196.5123138,148688624867.2496,35.974494695119084
2048,8489595053.718539,6946940127.970197,1542654925.7483425,147315816560.30676,35.58318484929127
2049,8401139610.412493,7079966079.378806,1321173531.0336866,145748444668.58936,35.233997488726146
2050,8310778423.683875,7200807100.478565,1109971323.2053099,144000603351.2341,34.91181870434685
2051,8218432986.688873,7262371796.355215,956061190.3336582,142133123299.3867,34.850284780633096
2052,8114681445.345694,7304906383.541409,809775061.804285,140155974374.9285,34.84870489429377
2053,8011574882.7538185,7338232872.242738,673342010.5110807,138081160025.14685,34.86043414538153
2054,7909056385.710297,7363321867.068614,545734518.6416826,135919420817.80528,34.881709126104944
2055,7807055532.271118,7381035176.956831,426020355.3142872,133680354490.41751,34.90924940822055
2056,7708004119.977642,7381210122.637681,326793997.33996105,131385965066.37674,34.995465612364924
2057,7609573797.99222,7374932724.55585,234641073.4363699,129044410746.35475,35.08905539275389
2058,7511726329.851032,7362886081.016098,148840248.83493423,126662968431.53568,35.187814481900766
2059,7413834072.840954,7345827063.801205,68007009.03974915,124247387824.2708,35.28884560674537
2060,7315870065.805169,7285799430.984112,30070634.82105732,121841235168.41988,35.58837334718732
2061,7219432904.944445,7105165489.761239,114267415.1832056,119566458756.77132,36.528042314504866
2062,7129669459.718955,6929952169.058124,199717290.66083145,117421735679.65233,37.515406662920206
2063,7046689702.343115,6759932829.810044,286756872.53307056,115406105578.07455,38.55475759912789
2064,6970689844.821394,6594898394.791919,375791450.0294752,113519032212.84767,39.65083290459761
2065,6901826704.516121,6434639820.616279,467186883.89984226,111760355720.02501,40.808952605942196
2066,6860750787.91066,6303621479.5408,557129308.3698597,110126105504.47282,41.86896655689487
2067,6825961829.857456,6176819701.659604,649142128.1978521,108615912230.62216,42.98538176149024
2068,6797698653.913326,6054108632.5009575,743590021.4123688,107229778482.80664,44.16290465970543
2069,6775869202.155934,5934916646.637246,840952555.5186882,105968186362.19186,45.41020682311869
2070,6760822768.561157,5819165192.2441225,941657576.3170347,104832036362.77966,46.733263522161465
2071,6767801870.745932,5591650005.729861,1176151865.0160704,103952658103.03534,49.191329968460835
