year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2052,8176226382.834024,7508700244.920106,667526137.9139185,253373641393.82553,33.74400803457849
2053,8066586545.2208395,7550411981.66639,516174563.5544491,254329924433.51007,33.68424465460479
2054,7956787799.298712,7583781292.595145,373006506.70356655,255034790224.39337,33.628974832569476
2055,7846718488.326947,7609677034.861208,237041453.46573925,255491683218.85278,33.574576430563674
2056,7738843814.283874,7617558937.30939,121284876.97448349,255730133051.19046,33.57113941037879
2057,7630729971.152756,7618842942.884964,11887028.267791748,255753970723.0216,33.56861043603261
2058,7522285745.026275,7614216760.691026,-91931015.66475105,255565929628.15637,33.56430971962014
2059,7412815714.001092,7604444583.933097,-191628869.93200493,255166121312.1683,33.55486630164826
2060,7302227884.502102,7550178135.195006,-247950250.69290447,254638459568.6231,33.726152550180366
2061,7192098527.656355,7370701654.196184,-178603126.53982925,254250773419.37723,34.494785618494106
2062,7087696067.738986,7196492913.590822,-108796845.8518362,254009889557.73236,35.296344011959775
2063,6989068264.41418,7027330272.625613,-38262008.21143341,253923480487.46478,36.13370521044141
2064,6896347142.020435,6863009399.381698,33337742.63873768,254000274601.27402,37.0100432361578
2065,6809614381.349138,6703324848.731152,106289532.61798668,254250011326.52585,37.928940796394784
2066,6750304734.963858,6573955725.873067,176349009.09079075,254672645986.83453,38.739635100449696
2067,6695954107.077064,6448763237.552587,247190869.524477,255276907152.26862,39.58540541010007
2068,6646694424.285333,6327629633.702204,319064790.5831289,256072464171.94812,40.468940028989
2069,6602306548.951458,6209976146.883621,392330402.06783676,257070266621.17755,41.39633720657433
2070,6563010326.756573,6095731732.764238,467278593.99233437,258282450937.15866,42.37103308679154
2071,6544632408.609965,5864006302.246732,680626106.3632336,260083400494.49753,44.3525103980276
2072,6538418662.589622,5640060213.152774,898358449.4368477,262508015421.0386,46.54347746303537
2073,6545085180.972809,5423653231.547928,1121431949.424881,265595225719.20822,48.96980215739318
2074,6566356262.399084,5210210609.271484,1356145653.1275997,269403250775.80362,51.706787110756125
2075,6602673144.427489,5003838191.5124035,1598834952.9150858,273982531488.74197,54.75447466576274
2076,6655041236.212811,4805767189.0103,1849274047.2025118,279385035268.8157,58.13536617165016
2077,6724496016.61512,4615626891.532953,2108869125.0821667,285669142757.3275,61.89173203782301
2078,6812200950.081397,4433066260.546232,2379134689.535165,292900389447.6435,66.07173731067873
2079,6919442195.870738,4257724096.5826344,2661718099.2881036,301152335454.02435,70.73082440821787
2080,7047689401.229412,4089288281.022977,2958401120.206435,310507502570.3329,75.93191803358414
2081,7198606689.869814,3927383788.964514,3271222900.9053,321058774146.6294,81.7487649281353
2082,7374048328.793768,3771733889.803259,3602314438.990509,332910359649.1807,88.264540759143
2083,7576094635.408333,3622074512.236285,3954020123.1720476,346179227908.59576,95.57484992070556
2084,7812736043.280397,3484850082.4806013,4327885960.799796,360993181759.12555,103.5893003185267
2085,8080610640.040126,3352807687.38446,4727802952.655666,377499671185.4178,112.59210380775133
2086,8382680775.127756,3225620133.679216,5157060641.44854,395864959916.20605,122.72522600628533
2087,8722283763.534622,3103123427.7064557,5619160335.828167,416276093185.7874,134.14744945980462
2088,9103171284.667122,2985158101.666766,6118013183.000356,438943731491.0341,147.04203815735903
2089,9533505067.574749,2841181886.8804655,6692323180.6942835,464235135722.94666,163.3950778957919
2090,10016333387.95753,2704322564.64227,7312010823.315259,492421108936.9044,182.08667685396557
2091,10557243482.814417,2574232037.891557,7983011444.922859,523809072006.72943,203.48168474966187
2092,11162470757.493143,2450475955.4771805,8711994802.015963,558748368844.3633,228.01626255318973
2093,11839015012.638836,2332735704.8867407,9506279307.752094,597635624466.6592,256.1951717096368
