year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2703371329.687837,8080986155.459379,108064178024.59346,39.973856657373005
2025,10697066036.880198,2857053902.100031,7840012134.780167,116252945259.17719,40.68979768765558
2026,10608722401.953821,3026449308.011304,7582273093.942517,124346738573.89621,41.08667481881767
2027,10518579391.798561,3210956713.0785384,7307622678.720022,132318966342.72218,41.208579923788506
2028,10425904936.676208,3409935206.2524223,7015969730.423786,140141405351.2675,41.09796722656361
2029,10329984855.666754,3620304686.638654,6709680169.028099,147786928259.10187,40.82168244140735
2030,10230186901.081324,3841206004.8178434,6388980896.26348,155227183940.16098,40.41105417034829
2031,10162655124.132967,4025160756.6440806,6137494367.488886,162530385309.6271,40.378607249747326
2032,10096632925.103144,4216023041.599935,5880609883.503208,169679058161.37668,40.24623596387778
2033,10031522587.148802,4413049575.715755,5618473011.433046,176655230579.40854,40.03019398456604
2034,9920158574.19814,4604044343.488527,5316114230.709612,183395915341.09113,39.833655294929315
2035,9809516160.994179,4798733167.346001,5010782993.648178,189882872797.74765,39.569375119634906
2036,9699007452.352095,4994144039.892256,4704863412.459839,196100477912.64822,39.266083706484146
2037,9588129339.342955,5190152122.1214485,4397977217.221506,202032252724.92197,38.92607537721694
2038,9476388481.343185,5386640513.062588,4089747968.2805977,207660830552.7453,38.5510839361135
2039,9363300748.27998,5583500089.201895,3779800659.078085,212967919247.62793,38.14236873739704
2040,9248390913.413364,5780629557.3930855,3467761356.020279,217934263540.35745,37.70078351788385
2041,9173804130.694145,5950043419.056952,3223760711.6371927,222643501012.89618,37.41880274349055
2042,9088069490.443108,6123112023.063691,2964957467.3794165,227061304894.75787,37.082663854506464
2043,9002862852.891056,6294219791.124078,2708643061.7669783,231177916699.07385,36.72860566850146
2044,8917755174.572329,6463224191.944161,2454530982.628167,234982935672.21457,36.35692166846078
2045,8832040281.539616,6629769135.89003,2202271145.6495857,238465180232.80637,35.968851304622845
2046,8745560759.5572,6793636279.264271,1951924480.2929287,241613303017.76196,35.564650959489974
2047,8657881628.674435,6954617912.184319,1703263716.4901161,244415319712.66162,35.144320334903234
2048,8568562890.933702,7112523096.123435,1456039794.8102674,246858537829.43216,34.70759032951027
2049,8476917370.266232,7255889851.97845,1221027518.2877817,248948385439.14514,34.3098352535306
2050,8382692694.951609,7387050832.247736,995641862.7038727,250686556389.80154,33.93594576274528
2051,8285801102.854291,7457668538.8089485,828132564.0453424,252161207808.58707,33.81233779650648
