year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,51043603.52178028,34547626.91489362,9576169.14893617,27.718746565506773,23288010.0319149,94534817304.25534,92499821237.04045
2025,50588104.489613384,34089406.20000001,9701603.34249409,28.459291093471982,23040433.83619149,93705871243.74893,89714989644.40714
2026,50185861.54973556,33635301.84107521,9869038.74822104,29.341311681553083,22795881.49846312,92889222567.2159,87018709967.27925
2027,49830188.95383154,33185278.091904357,10072161.545223825,30.351294683533048,22554325.01909164,92084754192.67377,84408104938.25598
2028,49515238.22376743,32739299.47250427,10305489.657221211,31.477428727136203,22315736.609609455,91292349924.81761,81880390884.74629
2029,49228857.516475506,32297330.76733759,10557232.185084805,32.68763063157334,22080088.691298265,90511894449.04865,79432874712.0276
2030,48966784.08332689,31859337.02353799,10823481.933210343,33.972715518888066,21847353.893776614,89743273325.54015,77062950982.27194
2031,48722233.60930971,31425283.549146492,11100882.5959,35.3246855467164,21617505.053596526,88986372983.34102,74782733672.3766
2032,48492094.5284216,30995135.911359157,11386558.142580148,36.73659691360533,21390515.212848786,88241080714.5164,72588490499.15474
2033,48273677.112249814,30568859.934785374,11678050.818595637,38.202441450251065,21166357.617777165,87507284668.32526,70476657936.65717
2034,48064659.02466469,30146421.699717566,11973266.74434284,39.7170412581836,20840197.47043619,86135062714.25085,67931352503.123665
2035,47862994.27229631,29727787.54041137,12270428.212805765,41.27595501725645,20516744.311317503,84774941736.76204,65483524314.80647
2036,47660950.01308898,29312924.043377023,12562069.488247469,42.855054206322855,20195974.778178357,83426815683.56476,63129093191.68159
2037,47458306.48202212,28901798.0456811,12848236.735939337,44.45480075541284,19877865.683641884,82090579298.49327,60864161052.819916
2038,47254845.726464,28494376.633259423,13128976.761508422,46.075676371119194,19562394.014019135,80766128116.14311,58685003294.45116
2039,47048329.17442665,28090627.139240135,13404336.965462657,47.71818336066259,19249536.928138506,79453358456.5382,56588060597.06007
2040,46838589.80514837,27690517.14227776,13674365.299285902,49.38284550275856,18939271.75618255,78152167419.83128,54569931139.18153
2041,46620117.88098412,27294014.464897342,13939110.223058145,51.070208968289165,18631575.99853214,76862452881.0381,52617044105.94857
2042,46393036.40629265,26780142.45485645,14198620.664557466,53.01921260684935,18265954.966121387,75402696409.31503,50605638855.36945
2043,46157463.995677814,26277153.739336584,14452945.979801277,55.001946265456404,17906528.657209534,73965223896.49893,48667545069.28364
2044,45913514.88956764,25784681.457656447,14702135.914985735,57.01887742584508,17553107.373415668,72549432403.44685,46799984668.502785
2045,45661087.56154481,25302364.217284493,14946029.160591982,59.069694168666196,17204699.63414954,71150028941.92857,44997315100.78455
2046,45401460.618126735,24831228.17494615,15184495.379526014,61.15080282193469,16862235.837968312,69771123372.92749,43260054652.24439
2047,45134545.38318987,24370912.999206994,15417431.806324128,63.261609472020176,16525535.569570038,68412157022.89761,41585742524.67081
2048,44860274.75378659,23921063.680433128,15644760.192542486,65.40160756036754,16194421.067612637,67072579287.418915,39972012286.86738
2049,44553546.538735054,23478307.61631832,15841370.111075984,67.47236798305525,15867205.767553722,65747313259.08043,38413939068.91154
2050,44217459.941337325,23039792.228940923,16012971.63996956,69.50137171747244,15542724.660025384,64432219082.522224,36907425360.68769
2051,43854417.9118037,22605312.733437024,16162321.361276641,71.49788880102452,15220872.19865704,63126970021.08806,35450750515.013885
2052,43466949.12204798,22174667.601131458,16291897.768925345,73.47076430626656,14865622.271672629,61608526622.7107,33919632662.548332
2053,43057327.842397295,21747615.987552714,16403929.090640368,75.42863134988767,14514953.505341902,60112741716.48602,32447159399.380795
2054,42627564.56425906,21323918.011775088,16500418.327703174,77.37986198686202,14168643.232791238,58638618572.352646,31030852333.16064
2055,42179425.38279341,20903334.753887273,16583127.337082457,79.3324487806836,13826470.836889135,57185171631.03223,29668338898.795677
2056,41719307.024289615,20485628.252466954,16652890.406937914,81.29060139970329,13520917.782830663,55806362469.03905,28385290692.365955
2057,41248592.62797524,20068575.214869827,16711218.482583372,83.2705775256092,13217878.093677035,54442982359.173164,27148845527.82316
2058,40768510.91272733,19651986.196016658,16759466.200770602,85.2812842101815,12917161.494978799,53094150125.13691,25957087467.283997
2059,40280151.82962538,19230423.701747037,16798847.62953393,87.35557723571009,12615057.348170126,51745555234.70326,24801740927.085304
2060,39696030.93689365,18803981.80129762,16742000.7294021,89.03433807964424,12311552.015231276,50396958080.54265,23681721373.761345
2061,39114737.9034713,18372749.646122806,16687636.42462048,90.82819254624778,12006630.37324633,49048117740.25288,22595976658.807713
2062,38536093.44259639,17936811.523919594,16635695.593687719,92.74611360833683,11700275.828906376,47698791979.72467,21543486072.086555
2063,37959920.533797085,17496246.91223575,16586120.347621776,94.79816117605489,11392457.700889055,46348658938.00841,20523224742.30094
2064,37386526.251447074,17051576.428526014,16538854.005056338,96.99310837552866,11083508.274561146,44998941346.266754,19534871244.745953
2065,36815714.3806601,16602812.695609348,16493841.067836592,99.34365562166721,10773354.666718086,43649162704.31564,18577360211.35838
2066,36247285.129486166,16149966.683573775,16451027.19710433,101.86415563220179,10555227.943701323,42843744205.6434,17877028426.598873
2067,35681041.983835325,15693047.717163395,16410359.189862628,104.57088696617365,10334601.169739485,42030390542.40229,17193772128.58997
