year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,25067160.000000004,99201952340.42554,99201952340.42554
2024,51324071.33515558,34576726.10192157,9821935.123172225,28.406203335215068,24756935.888975844,98202138452.88808,96088198094.80243
2025,51101743.71327928,34147273.84569567,10146297.756500587,29.713346378248428,24449448.073518105,97213659318.99713,93073382951.77057
2026,50892519.27402918,33721597.08743201,10472964.586173838,31.05714287202932,24144663.514601327,96236387880.5714,90154337541.34636
2027,50695904.96602787,33299650.217665516,10801811.820207912,32.43821406411511,23842549.555848505,95270198548.51877,87327994596.65213
2028,50511412.93939484,32881388.174934514,11132715.656029398,33.857194826451604,23543073.933253113,94314967238.06647,84591385697.64833
2029,50331487.47664634,32466766.457787577,11458479.286688063,35.29294887307633,23246204.783775903,93370571400.23965,81941638112.55438
2030,50155851.481740825,32055745.248188682,11779174.58077412,36.74590776029362,22951913.597703088,92436901909.85976,79375981918.91812
2031,49980708.62424383,31648015.00019584,12094766.893700741,38.21651024124545,23292939.040144127,94069300741.02916,79054345381.39955
2032,49805891.624683484,31243547.34342015,12405314.068694439,39.705203549196156,22995250.844757225,93129690535.39746,76609937252.34167
2033,49631233.86298559,30842314.195510432,12710871.665807959,41.21244464741955,22699943.247895688,92200023776.08067,74256098358.52373
2034,49456569.6291036,30444287.756931394,13011493.254027512,42.73870145332969,22406995.789101504,90968613258.93242,71743384625.06818
2035,49281690.61078767,30049440.50562514,13307230.67122385,44.28445404410371,22116388.212140102,89747780401.49796,69324741954.64867
2036,49106387.41812986,29657745.216128144,13598134.26649937,45.850195850710136,21828100.479070306,88537434727.08844,66996299955.1461
2037,48930449.77775771,29269174.954507284,13884253.10754237,47.436434846976354,21542112.766517356,87337486699.54546,64754359170.75102
2038,48753666.7036957,28883703.07319281,14165635.164853074,49.0436947400983,21258405.46186991,86147847706.67001,62595383044.80541
2039,48573772.87604392,28501303.2057336,14442327.475248821,50.672516168816664,20976959.159419928,84968430043.45642,60515990280.84263
2040,48390600.26779942,28121950.38641984,14714376.875413863,52.32345791534955,20697755.484405007,83799150247.29822,58512949921.8035
2041,48198256.56884479,27745448.013813566,14981736.792592378,53.997098137083434,20975558.698443055,84885049944.56262,58109001852.71807
2042,47996856.22523743,27248493.813213695,15244449.030734396,55.946024522433824,20599861.322789557,83423930772.52786,55988996595.728485
2043,47786508.48624427,26761592.515157443,15502555.114458043,57.92837293101142,20231763.941459022,81988907080.0939,53946958047.27565
2044,47567317.515070565,26284407.611343265,15756096.363233801,59.94465082193491,19871012.1541755,80579194343.54921,51979801012.1888
2045,47339166.77448984,25816606.380507633,16004898.241752945,61.99458598802187,19517354.42366377,79192030488.4981,50083307095.63443
2046,47103348.32847865,25359271.589479245,16248816.700291893,64.07446145666506,19171609.321646303,77831146703.6171,48257495325.80664
2047,46859759.479599595,24912071.613620415,16487734.47349763,66.18371498451832,18833526.139897037,76495779692.43655,46499539510.921715
2048,46608318.726686604,24474678.66132936,16721558.587497318,68.32187183694397,18502857.067964993,75185174801.31,44806726726.13251
2049,46323303.67981482,24043678.36255211,16924558.27215091,70.39088619032108,18177020.842089396,73891576959.7398,43172357839.96404
2050,46007829.34675847,23616183.055315897,17102510.476621572,72.4186056508902,17853834.389818817,72607219198.1623,41590147931.598526
2051,45664600.93801087,23192159.799399268,17258294.963969477,74.41434999260615,17231774.730953656,70105544409.30525,39369768004.75732
2052,45296159.626768574,22771419.149285667,17394407.504788827,76.38701563022472,16919164.427919257,68751270480.33627,37852192993.637665
2053,44904791.212001175,22353728.979271874,17513094.80869663,78.3452945364782,16608820.631599002,67411635521.11447,36386896033.50243
2054,44492515.58771821,21938855.868440412,17616379.259513333,80.29762064691319,16300569.910251226,66085829447.76668,34971826841.005516
2055,44061105.76404172,21526565.25653355,17706041.617237408,82.2520518542243,15994237.98560443,64773042424.30689,33605015414.65285
2056,43617877.18169085,21116621.57687158,17783681.811662573,84.21651042485186,15689649.831615582,63382287515.56416,32238701400.302647
2057,43164131.02549984,20706733.964619007,17850734.720781058,86.20738910965915,15385103.335711924,61998716661.48662,30916630732.34218
2058,42701022.20018518,20296704.19323296,17908488.649771456,88.2334810581821,15080451.21557209,60621603555.796936,29637168354.632893
2059,42229573.99833508,19880912.737350807,17958100.01258185,90.32834784714629,14771518.163851649,59235386387.21303,28391630937.726818
2060,41750691.301160514,19459434.857656498,18000606.55873099,92.50323398599873,14458360.09923878,57840044188.88973,27179255710.99433
2061,41264877.17964654,19032203.33697128,18036809.818057626,94.7699512174713,14178991.486043604,56587051069.98514,26069087746.435345
2062,40772837.17706491,18599288.08497663,18067541.196739167,97.14103633532632,13856469.623307586,55168754414.40853,24917345765.200535
2063,40275190.35645005,18160753.612139165,18093545.78098216,99.629928181438,13529761.441043679,53740776019.801735,23796460336.753834
2064,39772979.77280967,17717123.58575304,18115491.005442172,102.24848812371256,13199257.071386011,52304511201.16886,22706354000.01415
2065,39266653.30191849,17268393.566551466,18133974.224978693,105.01251407718573,12864953.207080841,50859705832.683075,21646213053.339073
2066,38756589.89858726,16814556.79788512,18149529.987384018,107.9393896939752,12526844.814424412,49637789099.64973,20711919166.27754
2067,38243113.12283446,16355604.22075803,18162636.376759052,111.04839742763886,12184925.144464733,48404073378.45775,19801115265.039898
2068,37726496.79894206,15891523.599950172,18173720.726016477,114.36109704467519,11839185.081962878,47158334597.436516,18913244155.198208
2069,37206969.49098468,15421905.071583968,18183164.764148682,117.90478984112376,11489319.278330058,45894613086.654884,18045507924.880657
2070,36684719.088516444,14946753.922671672,18191309.25478475,121.70742456120618,11135331.672390398,44612971095.29184,17197620966.045635
2071,36160302.46888254,14783826.522248402,17880982.927730344,120.94962627450332,11161789.024297545,44758548213.09496,16915430125.518873
2072,35633942.63298437,14614260.004946573,17571290.053585768,120.23386779514196,11033766.30373466,44284281742.444084,16408031743.548145
2073,35105830.70483518,14438036.968865573,17262456.1522751,119.56234901946956,10900717.911493506,43789020625.36903,15906401579.584198
2074,34578165.97499728,14260870.365108537,16954679.780447192,118.8895161821924,10766957.125656947,43253665351.04225,15403856165.824669
2075,34050811.99494099,14082625.654435784,16647990.124943016,118.21652107680067,10632382.369099015,42711996518.76909,14912698570.771141
2076,33528329.098077193,13903170.48017563,16347108.724106368,117.57828005788696,10496893.712532599,42163643058.51,14432591631.161983
2077,33010470.835193608,13722372.266319154,16051948.825431312,116.97648565350454,10360391.06107096,41608230649.14884,13963210070.117218
2078,32496994.163107637,13540100.356870327,15762422.91283575,116.41289574960798,10222775.769437097,41045387463.064865,13504241984.935316
2079,31987668.154437084,13356235.064276494,15478442.992057592,115.88926757853567,10083957.473528754,40474414176.12875,13055281831.386349
2080,31482265.710199703,13170656.299698126,15199920.839469625,115.4074671268888,9943845.506272085,39894987828.48185,12616062889.635977
2081,30980636.844618104,12983266.666693646,14926768.227499925,114.9692801565264,9828332.866687091,39410170870.20112,12218380746.526423
2082,30482632.774940476,12793976.949939292,14658897.08016117,114.57654752325254,9685040.551104046,38809890909.80179,11796348291.958838
2083,29988106.038422704,12602696.97421189,14396219.65064618,114.23126081746045,9540241.609478401,38199581323.71588,11383179808.386936
2084,29496910.577222355,12409328.71426991,14138648.678650068,113.93564474113379,9393861.836702323,37666755591.75858,11004315550.005508
2085,29008902.52813831,12213773.472932067,13886097.529610414,113.69211620294514,9245826.519009573,37123359339.84983,10632904633.24543
2086,28523942.120361432,12015931.930982277,13638480.31737311,113.50330873801973,9096060.471753579,36569243596.62341,10268817964.3771
2087,28041893.736439474,11815703.456088416,13395712.011297405,113.3721073914972,8944487.516258935,36004253381.27474,9911927468.656214
2088,27562625.93572493,11612986.033930687,13157708.530539246,113.30168220382946,8791030.42768553,35428227507.45025,9562106118.957573
2089,27086080.848176584,11519351.565802168,12812809.701312928,111.22856723420689,8720149.13531224,35144754455.63985,9299604433.450676
2090,26612201.7840393,11416337.996617738,12479388.660791399,109.31166074873227,8642167.863439627,34831080227.56792,9035885817.333351
2091,26141025.045264315,11304252.88266357,12157048.538349671,107.54402493059905,8557319.432176324,34488774503.93683,8771651762.61392
2092,25672583.355801802,11185444.58239492,11845398.596554033,105.9001142895816,8467381.548872953,34123391741.401005,8508551642.001852
2093,25206906.061749563,11060079.308862569,11544054.184522424,104.37587165647213,8372480.036808962,33735523765.313007,8246900080.099829
