year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10735727158.427246,2687592897.8024993,8048134260.624746,105135109137.77841,40.21401168384041
2025,10634509693.258326,2834830875.9813585,7799678817.276967,110470683834.6387,41.021634369394214
2026,10548512611.793758,3002908673.384377,7545603938.409382,115638249569.17131,41.428895189868776
2027,10475523373.465889,3192227945.6805944,7283295427.785295,120654128338.73758,41.475576383046366
2028,10399002538.712053,3396692992.065705,7002309546.646349,125290670663.05573,41.28637466411333
2029,10318259679.870428,3613316588.8272777,6704943091.04315,129538933937.17621,40.929721173072004
2030,10232686042.589943,3841308750.2096076,6391377292.380335,133390332132.74915,40.438011599965776
2031,10177147122.623411,4032371837.359737,6144775285.263674,136919610709.52756,40.33201394514647
2032,10121012266.639122,4230201269.683629,5890810996.955493,140125723457.27664,40.13301932782024
2033,10063823294.124891,4433967888.6208935,5629855405.503998,143008015657.736,39.85777088670105
2034,9958272584.787622,4631310189.048268,5326962395.739354,145530899315.08838,39.6092559884171
2035,9851661045.660358,4831884491.458433,5019776554.201925,147697128823.89642,39.300766628443014
2036,9743556089.741648,5032589366.089834,4710966723.6518135,149512073413.74634,38.96103212808739
2037,9633603355.78189,5233182867.584061,4400420488.19783,150980884619.32166,38.59241099177405
2038,9521452144.709671,5433430234.960741,4088021909.74893,152108497026.73096,38.196661701795264
2039,9406755275.965603,5633104096.85155,3773651179.114053,152899628656.30124,37.77503312184039
2040,9289169142.51444,5831984870.047112,3457184272.467328,153358780994.3313,37.32833602617691
2041,9211862360.729069,6002903810.309651,3208958550.4194174,153560704623.29324,37.039511937013934
2042,9123271289.15488,6177509961.77227,2945761327.3826103,153495471742.37598,36.69685355702726
2043,9035177658.319368,6350137857.154263,2685039801.165106,153170796411.33765,36.33621644820816
2044,8947146306.716959,6520643698.908736,2426502607.808223,152593950069.90393,35.9578655373205
2045,8858462375.523762,6688668233.889174,2169794141.6345873,151771705974.87375,35.563000135441456
