year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2703371329.687837,8080986155.459379,105737943272.59634,39.973856657373005
2025,10697066036.880198,2857053902.100031,7840012134.780167,111301796158.84703,40.68979768765558
2026,10608722401.953821,3026449308.011304,7582273093.942517,116488140176.96309,41.08667481881767
2027,10518579391.798561,3210956713.0785384,7307622678.720022,121288190366.55083,41.208579923788506
2028,10425904936.676208,3409935206.2524223,7015969730.423786,125693259717.26413,41.09796722656361
2029,10329984855.666754,3620304686.638654,6709680169.028099,129697214138.95384,40.82168244140735
2030,10230186901.081324,3841206004.8178434,6388980896.26348,133294278488.19482,40.41105417034829
2031,10162655124.132967,4025160756.6440806,6137494367.488886,136587952860.53531,40.378607249747326
2032,10096632925.103144,4216023041.599935,5880609883.503208,139580642049.25818,40.24623596387778
2033,10031522587.148802,4413049575.715755,5618473011.433046,142274672393.9063,40.03019398456604
2034,9920158574.19814,4604044343.488527,5316114230.709612,144637180029.67776,39.833655294929315
2035,9809516160.994179,4798733167.346001,5010782993.648178,146673055304.79193,39.569375119634906
2036,9699007452.352095,4994144039.892256,4704863412.459839,148389282794.1134,39.266083706484146
2037,9588129339.342955,5190152122.1214485,4397977217.221506,149792140252.80197,38.92607537721694
2038,9476388481.343185,5386640513.062588,4089747968.2805977,150887219795.80115,38.5510839361135
2039,9363300748.27998,5583500089.201895,3779800659.078085,151679447586.93652,38.14236873739704
2040,9248390913.413364,5780629557.3930855,3467761356.020279,152173102127.52664,37.70078351788385
2041,9173804130.694145,5950043419.056952,3223760711.6371927,152413076522.93784,37.41880274349055
2042,9088069490.443108,6123112023.063691,2964957467.3794165,152389542293.78906,37.082663854506464
2043,9002862852.891056,6294219791.124078,2708643061.7669783,152110155114.50137,36.72860566850146
2044,8917755174.572329,6463224191.944161,2454530982.628167,151582134036.06085,36.35692166846078
2045,8832040281.539616,6629769135.89003,2202271145.6495857,150812206475.12103,35.968851304622845
2046,8745560759.5572,6793636279.264271,1951924480.2929287,149807028867.66647,35.564650959489974
2047,8657881628.674435,6954617912.184319,1703263716.4901161,148572899861.26117,35.144320334903234
2048,8568562890.933702,7112523096.123435,1456039794.8102674,147115745541.14474,34.70759032951027
2049,8476917370.266232,7255889851.97845,1221027518.2877817,145452150597.84146,34.3098352535306
2050,8382692694.951609,7387050832.247736,995641862.7038727,143595789507.6465,33.93594576274528
2051,8285801102.854291,7457668538.8089485,828132564.0453424,141608318355.85562,33.81233779650648
2052,8176226382.834024,7508700244.920106,667526137.9139185,139499210800.5175,33.74400803457849
2053,8066586545.2208395,7550411981.66639,516174563.5544491,137280106720.92453,33.68424465460479
2054,7956787799.298712,7583781292.595145,373006506.70356655,134961346429.1786,33.628974832569476
2055,7846718488.326947,7609677034.861208,237041453.46573925,132552086972.2683,33.574576430563674
2056,7738843814.283874,7617558937.30939,121284876.97448349,130074311320.37477,33.57113941037879
2057,7630729971.152756,7618842942.884964,11887028.267791748,127535721656.0862,33.56861043603261
2058,7522285745.026275,7614216760.691026,-91931015.66475105,124943090215.79231,33.56430971962014
2059,7412815714.001092,7604444583.933097,-191628869.93200493,122301596831.82516,33.55486630164826
2060,7302227884.502102,7550178135.195006,-247950250.69290447,119655576055.01804,33.726152550180366
2061,7192098527.656355,7370701654.196184,-178603126.53982925,117130785162.69353,34.494785618494106
