year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2068,14005444918.710123,2847480078.531189,11157964840.178934,262549899527.95264,229.90244638033835
2069,14505912775.19023,2794527994.2686567,11711384780.921574,269113247063.2281,244.91715961696084
2070,15046701046.977629,2743140420.527023,12303560626.450605,276140077355.1056,261.1404671343726
2071,15644512184.544472,2594295271.284486,13050216913.259987,283775782947.67725,289.4335506264522
2072,16295003874.678434,2451333026.4673824,13843670848.211052,292055222757.69855,321.5553784687169
2073,17002553192.603289,2314021996.9462667,14688531195.657022,301017180958.10657,358.110529367753
2074,17772845834.876434,2180411706.1026063,15592434128.773829,310707317421.03516,400.13490465271184
2075,18610692853.100266,2052115503.361795,16558577349.73847,321173594429.1847,448.26173076737007
2076,19522009570.763966,1936348155.3259187,17585661415.438046,332461734385.227,501.5936440375697
2077,20512914561.642025,1831695106.2493818,18681219455.392643,344624096303.65436,560.6430354894956
2078,21590262456.518597,1736905215.5366244,19853357240.98197,357720118322.99603,625.9813503665857
2079,22761706222.829582,1650860245.5126693,21110845977.316914,371816844333.1954,698.2534194132995
2080,24035831648.878292,1572582895.7075322,22463248753.17076,386989566726.8917,778.1802431471593
2081,25422258622.41239,1501179224.846421,23921079397.56597,403322615404.3226,866.5920343730019
2082,26931732593.597534,1435886068.2671385,25495846525.330395,420910175353.09766,964.4157143290648
2083,28576276689.26872,1376027504.9696217,27200249184.299095,439857283844.1987,1072.7034566821176
2084,30374256755.69552,1323310810.658466,29050945945.037052,460283577164.8397,1190.5805897882651
2085,32335798112.150333,1274793320.1589057,31061004791.99143,482319413777.1284,1320.9619692133754
2086,34477838935.91909,1229976907.1100466,33247862028.809044,506110032398.5428,1465.3572280061019
2087,36819392005.79286,1188472231.961008,35630919773.831856,531817226046.913,1625.4329350128937
2088,39381818008.97927,1149933946.0924847,38231884062.88679,559621321363.7819,1803.089248685266
2089,42192460220.6831,1089622786.874342,41102837433.808754,589751191712.0262,2045.4491518399
2090,45276840755.75535,1034125818.6715642,44242714937.083786,622430157792.0116,2320.136064927201
2091,48665657580.46527,983020283.5875696,47682637296.8777,657908282191.0066,2631.4750432213077
2092,52393514405.51578,935884684.8538369,51457629720.66194,696465749515.7665,2984.5164445394944
2093,56499480552.55161,892372456.7427838,55607108095.80883,738416666444.5995,3384.948439142992
