year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10754277890.093248,2580703350.8163795,8173574539.276869,105830531656.41383,41.910591280721974
2025,10642191110.7002,2613985216.827526,8028205893.872673,111580585205.43219,44.584848914775
2026,10534192018.862623,2665257702.843358,7868934316.019265,117047589115.85507,46.87874245193385
2027,10429391213.033003,2733865422.90514,7695525790.127863,122223499484.7023,48.77319042099917
2028,10326917409.281567,2819058895.4523025,7507858513.829264,127100323763.04872,50.26862274504926
2029,10225920765.912918,2906136639.120203,7319784126.792715,131684093092.5938,51.63244154625559
2030,10125929641.52305,2994531142.1399307,7131398499.38312,135980804656.5199,52.88165559413902
2031,10063923376.304241,3048393755.389646,7015529620.914595,140095197517.2934,54.68577276305433
2032,10008776413.260532,3103098961.349827,6905677451.910706,144038799532.2684,56.42699470340738
2033,9960100364.196991,3158223037.7621865,6801877326.434805,147822828503.5137,58.11625457708964
2034,9871131241.17643,3205130204.4878316,6666001036.688599,151420043832.92215,59.90283871616701
2035,9788788711.058052,3251383751.293618,6537404959.764434,154843030653.126,61.65366336889877
2036,9712699532.607426,3296714244.502657,6415985288.104769,158103907166.16708,63.37783716070639
2037,9642516024.82756,3340897085.4286113,6301618939.398949,161214324373.62106,65.08369635298726
2038,9577914064.311974,3383748073.859003,6194165990.4529705,164185467807.01617,66.77883271800047
2039,9518591186.545244,3425119224.6797934,6093471961.865451,167028061068.91916,68.4701368207289
2040,9464265053.01948,3464895044.0833817,5999370008.936098,169752371056.89603,70.16384596801775
2041,9462357488.251274,3486640903.2536216,5975716584.997652,172399609778.03296,72.22987290707722
2042,9458311326.788769,3509447564.600008,5948863762.188761,174968089034.7701,74.28618497430443
2043,9464032895.69801,3529957685.5718374,5934075210.126172,177471417401.07727,76.40944671210752
2044,9479632248.942074,3548148495.3064394,5931483753.635634,179923069440.96628,78.60919923286107
2045,9504680402.289001,3563862282.879032,5940818119.409969,182335984238.00436,80.89840373073362
2046,9540030360.83764,3577113732.5352626,5962916628.302378,184723685489.09097,83.2872433483173
2047,9585920050.836555,3587921269.3394647,5997998781.497091,187099651221.78238,85.78648960671022
2048,9642631972.37304,3596315480.86336,6046316491.50968,189477347101.10028,88.4073775699088
2049,9710255722.499855,3602435040.7355433,6107820681.764312,191869925682.84302,91.15907633339978
2050,9788770921.100872,3608880377.2086673,6179890543.892204,194287660821.18927,93.98576300086562
2051,9878572297.922073,3591951909.217408,6286620388.704665,196764719233.00787,97.54527272087479
2052,9969602911.131939,3571497652.2400355,6398105258.891903,199304692742.23294,101.35772121131184
2053,10074478716.073814,3552164676.1521807,6522314039.921634,201919071630.3461,105.31108899214513
2054,10193689340.155197,3533978223.7564282,6659711116.398769,204619585263.7969,109.41411625205251
2055,10327787389.316536,3516752591.1024256,6811034798.21411,207418471331.34836,113.68307459558123
2056,10479819278.407314,3495000130.001108,6984819148.406206,210336261630.1203,118.31977195819644
2057,10648125048.140337,3473577890.0890217,7174547158.051315,213386568364.0516,123.19145329277532
2058,10833542877.387358,3452431402.616451,7381111474.770906,216583629478.74307,128.31909322727284
2059,11036417039.688475,3431581187.863371,7604835851.825104,219941727497.65164,133.7224232858589
2060,11257812917.527893,3403897905.7021008,7853915011.825792,223483059617.36658,139.72018089889244
2061,11499185420.985432,3320665525.963588,8178519895.021843,227279558735.57733,148.56840888496708
2062,11764269168.522846,3240608340.1975956,8523660828.325251,231346757627.91086,158.06229074082938
2063,12054571677.294558,3163491887.498552,8891079789.796005,235701626483.82626,168.26253440686955
2064,12371911763.571363,3089114286.7090383,9282797476.862326,240362823441.39792,179.2359261640916
2065,12718112355.053417,3017285522.6762414,9700826832.377176,245350653735.70844,191.05689954546898
2066,13113969146.304451,2958637649.7671504,10155331496.5373,250695188100.173,203.0702509887387
2067,13542251954.742985,2902074749.853983,10640177204.889002,256419773381.5292,215.99076182260356
