year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,11215675710.638298,2506132340.425531,8709543370.212767,100209543370.21277,39.985734892674344
2024,11110229465.628876,2707135230.307007,8403094235.321869,106455485008.52419,40.18916545457294
2025,11003287102.759678,2916260096.3619823,8087027006.397696,112250906662.4879,40.20364169187912
2026,10894254638.018414,3133427338.458196,7760827299.560217,117595373936.04544,40.06113935167479
2027,10782544240.620743,3358545368.0786138,7423998872.5421295,122487965541.86252,39.787420629335195
2028,10667575735.930046,3591511442.084583,7076064293.845463,126927302593.12386,39.40327097538259
2029,10548778269.343096,3829848316.89622,6718929952.446876,130913942274.48586,38.950200905934054
2030,10425652323.114576,4073255357.156848,6352396965.957728,134448230894.02606,38.4387915075448
2031,10528139177.116135,4271950216.634863,6256188960.481272,137835980401.1018,38.39357787085664
2032,10437628144.05109,4473101961.896986,5964526182.154104,140886198462.011,38.28800218946341
2033,10348144199.27836,4676632946.413193,5671511252.865168,143605913506.64523,38.127466290608695
2034,10237037714.63602,4865806414.548098,5371231300.087923,145995901792.29828,38.044821539710604
2035,10126720246.37187,5055502879.405578,5071217366.966292,148064265155.70114,37.915898186677786
2036,10016692791.089512,5245604887.646743,4771087903.442769,149818369599.8585,37.7437987194406
2037,9906466859.213272,5436002343.485384,4470464515.727888,151264869375.4756,37.53099874796796
2038,9795563855.837425,5626592355.580366,4168971500.257059,152409729414.28644,37.2794391897973
2039,9683514518.101696,5817279075.848259,3866235442.253437,153258246238.45657,36.99060223424063
2040,9569858620.567793,6007973772.001686,3561884848.566107,153815067435.28824,36.66557274007834
2041,9635526153.900839,6169673950.431919,3465852203.4689198,154264937924.33975,36.52521729282408
2042,9545983326.923607,6336577280.480964,3209406046.442643,154449541266.38358,36.31782666986473
2043,9457840531.309017,6501330802.418058,2956509728.890959,154377628617.5023,36.08861685700454
2044,9370662818.879135,6663796120.105507,2706866698.773628,154057482990.44254,35.83846540373533
2045,9283902172.766037,6823579299.899517,2460322872.86652,153497070902.71216,35.56938280709611
2046,9197384663.976654,6980469373.464319,2216915290.512335,152704239704.936,35.282156403420814
2047,9110678800.060093,7134259634.446591,1976419165.6135015,151686458092.02136,34.97733557714931
2048,9023353271.922905,7284759853.678452,1738593418.2444534,150450807233.9517,34.655189500199775
2049,8934606869.450249,7420795305.186965,1513811564.2632837,149014602970.09827,34.36905134265502
2050,8844027210.789951,7544691287.79967,1299335922.990281,147392083932.89053,34.10531177292575
2051,8689560092.445848,7607107981.061974,1082452111.383875,145584495182.84518,34.07885969037235
2052,8591528680.149843,7647098886.892715,944429793.2571278,143674327031.34064,34.1249597424571
2053,8493959476.2512665,7678063273.814477,815896202.4367895,141673079566.49625,34.18420637164994
2054,8396834405.423702,7700972498.838368,695861906.5853338,139591037952.1699,34.253266218101686
2055,8300120610.138565,7716688617.943439,583431992.1951265,137437390768.83228,34.329234801925594
2056,8199643435.201778,7715014358.065226,484629077.1365528,135227169046.57996,34.460183601269634
2057,8099712991.217978,7707404613.319512,392308377.89846516,132967964305.91803,34.59627992802467
2058,8000295702.335972,7694498777.947182,305796924.38879013,130666546243.91628,34.73559879732677
2059,7900707234.341302,7677041098.263777,223666136.07752514,128328123237.95622,34.87537306480768
2060,7800926460.705692,7655526325.808997,145400134.89669514,125957285662.30475,35.013803918921326
2061,7707199850.53951,7502562298.105364,204637552.43414593,123692172515.47801,35.786879863315384
2062,7612427031.454769,7350512669.133168,261914362.3216009,121528750161.80984,36.60604430512829
2063,7523145278.941756,7199714884.151489,323430394.790267,119469263886.7607,37.474207846601296
2064,7439644100.100511,7050459445.619997,389184654.4805136,117515913955.2263,38.39467601010136
2065,7362161297.539289,6902971875.899886,459189421.63940334,115670869769.9005,39.37130521086641
2066,7299652976.726607,6789118983.468046,510533993.25856113,113913347493.161,40.211778472400084
2067,7242151345.573254,6677517989.996603,564633355.5766506,112244385799.85213,41.09053727466121
