year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2068,7189848011.371363,6568367766.487695,621480244.883668,110664995734.93478,42.00928026850661
2069,7142743761.419386,6461207350.798545,681536410.620841,109176630268.40002,42.974280033902765
2070,7101100567.950661,6356214793.211499,744885774.7391615,107780797802.58234,43.988140473441995
2071,7114350095.359848,6130699320.928066,983650774.4317818,106651099600.49289,46.03077283584774
2072,7120739412.249849,5911609606.097411,1209129806.1524382,105769031375.2631,48.28874278626774
2073,7140860056.595926,5698870943.671846,1441989112.92408,105137117912.20163,50.78793264390465
2074,7175024527.594441,5487764360.793633,1687260166.800808,104762865963.0769,53.60500945492001
2075,7225576080.303719,5282711026.635462,1942865053.6682568,104651557174.3319,56.739103963432306
2076,7293659049.785373,5085034068.955994,2208624980.829379,104808190838.0175,60.21367886897625
2077,7380461075.628947,4894476886.496906,2485984189.132041,105239112461.69823,64.07149700495532
2078,7487311002.124371,4710789999.298187,2776521002.8261833,105952121455.4715,68.36126029040385
2079,7615686191.133867,4533690930.758376,3081995260.375491,106956624138.28873,73.13918162168011
2080,7767254548.093255,4362949591.679759,3404304956.413496,108263740386.10832,78.4688564878084
2081,7946767574.6486025,4198256597.932042,3748510976.7165604,109889432923.88158,84.42705035369899
2082,8150599770.103447,4039399720.990621,4111200049.112826,111845938209.78105,91.09577206288546
2083,8383930907.83972,3886172542.1742477,4497758365.665472,114150638963.49002,98.57147944038249
2084,8651703936.354652,3747107582.550939,4904596353.803713,116816987494.48021,106.70997517023898
2085,8954036558.876587,3612898673.291016,5341137885.585571,119867596213.50734,115.83541664443652
2086,9294226079.089876,3483393119.1974607,5810832959.892416,123328084149.6055,126.0825598148058
2087,9675975898.372995,3358441961.6012197,6317533936.771776,127227420357.95364,137.60637937808642
2088,10103450324.453827,3237899984.3315086,6865550340.122318,131598315396.9396,150.58536499830373
2089,10588571418.381805,3091393799.199624,7497177619.182181,136515133890.6916,166.88699910854552
2090,11131498407.78382,2951961842.283699,8179536565.50012,142017903125.00168,185.4507380068788
2091,11738318703.028402,2819299281.330078,8919019421.698324,148152257779.54312,206.61577412664218
2092,12416003717.914167,2692933199.75926,9723070518.154907,154970382066.72656,230.79142890957343
2093,13172339029.818373,2572553176.083464,10599785853.73491,162531532977.97665,258.446107481005
