year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,35.65936428891742
2024,10580281692.307388,2770418045.4272084,7809863646.88018,99309863646.88019,33.02750649889388
2025,10297126912.231306,2982937641.9091187,7314189270.322187,98814189270.32219,30.67445953762507
2026,10021634128.25375,3203394378.2108684,6818239750.042881,98318239750.04288,28.56345151329877
2027,9753554215.53542,3431663863.657412,6321890351.878008,97821890351.878,26.663450627848142
2028,9492646263.859835,3667608427.7842712,5825037836.075563,97325037836.07556,24.948137676539886
2029,9238677309.026299,3908665072.7289968,5330012236.297302,96830012236.2973,23.409526858261987
2030,8991422967.943884,4154494791.211474,4836928176.73241,96336928176.7324,22.024338601545843
2031,8772849084.910877,4354321519.046317,4418527565.86456,95918527565.86456,21.013606735232614
2032,8561722778.9846,4556258571.565877,4005464207.418723,95505464207.41872,20.08226674645325
2033,8357739727.985298,4760198923.006829,3597540804.978469,95097540804.97847,19.221885782496475
2034,8114030220.523362,4953646704.007772,3160383516.5155897,94660383516.5156,18.471240576355893
2035,7878784708.084547,5147707999.861657,2731076708.22289,94231076708.22289,17.774900985537453
2036,7651653832.003194,5342265067.252923,2309388764.750271,93809388764.75027,17.12756646256243
2037,7432303652.702677,5537207632.112382,1895096020.5902948,93395096020.5903,16.524574492991114
2038,7220414925.099974,5732432741.735453,1487982183.364521,92987982183.36452,15.961809605514715
2039,7015682409.855219,5927844608.911814,1087837800.9434052,92587837800.9434,15.435627287267376
2040,6817814418.131736,6123354694.526604,694459723.6051321,92194459723.60513,14.94278946176151
2041,6643858061.750903,6289399615.312976,354458446.43792725,91854458446.43793,14.548288484837633
2042,6464178084.33896,6459123634.3011265,5054450.037833214,91505054450.03783,14.166008452615761
2043,6290864904.167316,6626719549.198127,-335854645.03081036,91164145354.9692,13.807736893146783
2044,6123684001.131559,6792053894.664824,-668369893.5332642,90831630106.46674,13.471624551135188
2045,5962136690.006472,6954772897.850794,-992636207.8443222,90507363792.15567,13.156432473629136
2046,5806288514.610447,7114666615.588452,-1308378100.9780054,90191621899.02199,12.860757213770311
2047,5655930882.81122,7271534895.491688,-1615604012.6804676,89884395987.31953,12.58331305770526
2048,5510862948.263344,7425193885.8186035,-1914330937.5552597,89585669062.44473,12.322910540390883
2049,5370647570.404471,7564206100.862658,-2193558530.458186,89306441469.54181,12.096444594438656
2050,5234923458.524655,7690913349.879593,-2455989891.3549376,89044010108.64507,11.897156532316478
2051,5103568208.895786,7755016695.8819,-2651448486.9861135,88848551513.01389,11.79881405653049
2052,4965085308.4233265,7799434732.63299,-2834349424.2096634,88665650575.79034,11.731619423284894
2053,4831788158.814054,7834610172.366793,-3002822013.552739,88497177986.44727,11.678947386907236
2054,4703461050.649156,7861523571.446916,-3158062520.79776,88341937479.20224,11.638965293232518
2055,4579897119.89311,7881046407.314092,-3301149287.4209814,88198850712.57903,11.61013338470922
2056,4463490830.397039,7882634053.932838,-3419143223.535799,88080856776.4642,11.60779497994689
2057,4351208871.396954,7878035022.252991,-3526826150.856037,87973173849.14397,11.614571367294134
2058,4242883317.529216,7867898868.015871,-3625015550.486655,87874984449.51335,11.629534331199975
2059,4137754630.1742725,7852962766.43935,-3715208136.2650776,87784791863.73492,11.651653359549476
2060,4035729180.756658,7833735192.475462,-3798006011.718804,87701993988.28119,11.680251853277923
2061,3936700877.5317087,7679817019.425211,-3743116141.893502,87756883858.10649,11.914346366399265
2062,3840583088.573901,7526618845.091105,-3686035756.5172043,87813964243.48279,12.156853147901426
2063,3747288391.7345915,7374500339.572132,-3627211947.8375406,87872788052.16246,12.40762028432001
2064,3656794898.1741676,7223768675.819827,-3566973777.6456594,87933026222.35434,12.666518559249912
2065,3569010792.289942,7074667849.650283,-3505657057.360341,87994342942.63966,12.933469378993257
2066,3505161207.4818006,6954617263.266859,-3449456055.7850585,88050543944.21494,13.156726896142496
2067,3442789096.443493,6836544262.968409,-3393755166.5249157,88106244833.47508,13.383954887212411
2068,3381852988.2855554,6720616846.517666,-3338763858.2321105,88161236141.76788,13.61482168819241
2069,3321934973.6857204,6606472404.332352,-3284537430.6466312,88215462569.35336,13.85005406818875
2070,3263037549.980672,6494261862.568945,-3231224312.588273,88268775687.41173,14.089361029215599
2071,3220731487.5362005,6262958515.075647,-3042227027.539447,88457772972.46056,14.609708778965912
2072,3178790119.486785,6038313097.474654,-2859522977.9878693,88640477022.01213,15.153238747799806
2073,3137232849.9645023,5820242099.998925,-2683009250.034423,88816990749.96558,15.72099552353963
2074,3096986554.559655,5604140992.927992,-2507154438.3683367,88992845561.63167,16.32721234449065
2075,3057345380.851957,5394397569.926062,-2337052189.074105,89162947810.92589,16.962042343729987
2076,3018307163.914169,5192347714.600297,-2174040550.686128,89325959449.31387,17.622086391231523
2077,2979869248.659108,4997714834.776833,-2017845586.1177244,89482154413.88228,18.308367528954026
2078,2942028657.7676353,4810230498.072553,-1868201840.3049173,89631798159.69508,19.021957479306618
2079,2904761621.373165,4629603191.7989645,-1724841570.4257994,89775158429.5742,19.764112864378138
2080,2868067755.3425035,4455584493.96409,-1587516738.6215868,89912483261.37842,20.53602622146513
2081,2831962081.497395,4287848085.87156,-1455886004.374165,90044113995.62584,21.339375408725903
2082,2796442205.4247055,4126165923.529006,-1329723718.1043005,90170276281.8957,22.17555030403197
