year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,11286638075.388027,11286638075.388027,2599434103.2504787,2599434103.2504787,8687203972.137548,8687203972.137548,100187203972.13754,100187203972.13754,38.54192874012764,2100000000000000.0,2100000000000000.0
2024,11660529774.74067,11409520327.5349,2938128608.8644857,2874881221.9809055,8722401165.876183,8534639105.553995,108909605138.01373,106565171367.9195,37.067677980272144,2186977799999999.8,2139899999999999.8
2025,12038260299.595633,11525557404.03456,3308843625.4880433,3167921792.4717307,8729416674.107588,8357635611.562828,117639021812.12132,112628840472.54082,35.55291066218639,2277558046520399.5,2180558099999999.5
2026,12418890006.901209,11634027691.900288,3713721125.464332,3479017399.2714095,8705168881.436876,8155010292.628878,126344190693.5582,118359355177.69817,34.02091498665269,2371889945691181.0,2221988703899999.2
2027,12801373224.358896,11734186228.206638,4155012738.9990478,3808629934.1082993,8646360485.359848,7925556294.098339,134990551178.91805,123737058424.91846,32.48860103650069,2470128883461818.5,2264206489274099.0
2028,13117720229.229717,11765323828.016457,4625797491.851293,4148892071.4428587,8491922737.378425,7616431756.573598,143482473916.29648,128689874442.40381,31.01788916809527,2572436681557039.5,2307226412570306.5
2029,13429642018.513643,11785799848.48818,5130870509.5594225,4502831333.166893,8298771508.954221,7282968515.321287,151781245425.2507,133202610826.87099,29.58196764904984,2678981864033769.0,2351063714409142.0
2030,13735750225.146112,11794950274.04935,5672067515.760354,4870629794.721122,8063682709.385757,6924320479.328229,159844928134.63647,137259556122.05914,28.18106937029449,2789939934878319.5,2395733924982915.5
2031,14075199630.01508,11828574084.191559,6177326259.005276,5191326817.20888,7897873371.009804,6637247266.982678,167742801505.64627,140968384595.28482,27.154596418007166,2903214620967106.5,2439815429202601.0
2032,14411961729.349188,11855504699.104914,6711117353.635749,5520669900.215317,7700844375.71344,6334834798.889597,175443645881.3597,144322681896.85828,26.14224079784763,3018717504990680.0,2483244143842407.5
2033,14684862173.494352,11826901179.381828,7496470692.34312,6037511079.436775,7188391481.151232,5789390099.945053,182632037362.51096,147088275841.92496,24.362402636890312,3136351130222557.5,2525955943116497.0
2034,14917955076.011889,11765207256.610754,8321395479.811387,6562758902.634923,6596559596.2005005,5202448353.975831,189228596958.71146,149237187721.31323,22.740007660710354,3256008947634718.0,2567886811772230.5
2035,15130079399.946175,11687072877.594055,9201372575.33115,7107504793.542129,5928706824.615025,4579568084.051927,195157303783.32648,150747234804.24118,21.209586090073408,3377575297703607.5,2608973000760586.0
2036,15318166679.395416,11591260722.417458,10138695797.082016,7671953754.579074,5179470882.3134,3919306967.8383837,200336774665.6399,151594889652.24396,19.75961984413204,3500925428399838.0,2649151184972299.0
2037,15478915398.588205,11476483754.816658,11135680007.66266,8256292344.516164,4343235390.925545,3220191410.300494,204680010056.56543,151755258676.85345,18.380557803000936,3625925550709803.0,2688358622509889.0
2038,15608781651.572258,11341405413.512712,12190445121.765238,8857627929.159443,3418336529.8070216,2483777484.3532696,208098346586.37244,151205120758.41586,17.070610999661245,3752432932877891.5,2726533314949529.5
2039,15704090541.997639,11184725787.24773,13292659259.134304,9467262583.537333,2411431282.863335,1717463203.7103977,210509777869.23578,149928716642.6595,15.836543596389863,3880296034384485.0,2763614168032843.5
2040,15761281091.312513,11005350871.43287,14443852373.255991,10085453230.732481,1317428718.0565233,919897640.7003899,211827206587.2923,147908835525.66068,14.665561590722723,4009354680488112.5,2799541152217270.0
2041,15841502843.982714,10844476367.888332,15578659357.15518,10664543945.476954,262843486.8275337,179932422.41137886,212090050074.11984,145188594702.47086,13.614140036813131,4140252092096688.0,2834255462504764.0
2042,15877837835.964695,10656225381.771456,16765410793.106134,11251909603.501001,-887572957.14144,-595684221.7295456,211202477116.9784,141746075290.4968,12.597512803195013,4272889208119097.5,2867699676962320.5
2043,15875221320.588203,10445558174.551128,18000233127.212303,11843770772.627687,-2125011806.6240985,-1398212598.076559,209077465310.3543,137568527882.80264,11.615264304231495,4407160478595033.0,2899817913344299.0
