year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,50531506.64469486,34458478.7713682,9150845.428194143,26.556150342300217,23227299.05110359,94272872704.36661,92243515366.30783
2025,49612810.85392719,33917234.81864963,8894116.777308121,26.223000857421404,22923723.76301578,93201959991.48691,89232539695.66495
2026,48791057.49116353,33386028.818560652,8717525.037780657,26.111296689872354,22627737.071178563,92162721524.71877,86338123115.96571
2027,48054882.53668622,32864628.044860527,8610254.484393826,26.19915391295696,22339168.245751914,91154456879.45372,83555361898.14584
2028,47394241.575060524,32352806.441843137,8562791.44401481,26.466920140010547,22057851.233464714,90176484454.98149,80879567695.06812
2029,46759531.59604465,31850344.609239854,8526046.46775661,26.769087029856454,21783624.645470954,89228141443.15286,78306258234.72128
2030,46147801.247113384,31357056.53187813,8497533.086352132,27.099268956298218,21516350.100411493,88308859139.6577,75831213092.63698
2031,45553033.79656647,30872473.985885616,8475085.275323523,27.45191486499654,21255695.25523381,87417271429.61182,73464085662.98521
2032,44973162.88048563,30396427.461796742,8456958.84406857,27.822213168628323,21001531.715857193,86552846215.91382,71199722446.11343
2033,44406427.34173819,29928751.275606185,8441705.602037096,28.2060067401396,20753733.99015873,85715063525.62048,69033238032.81721
2034,43851329.093361706,29469283.355825976,8428131.635794163,28.599716979978577,20406734.137705047,84249654654.9895,66444404964.57241
2035,43306498.12783957,29017865.05130558,8415260.964039367,29.000276033955657,20065291.096495617,82809267377.80882,63965159547.54782
2036,42770754.65714891,28574341.026939984,8402303.932171801,29.405066329438988,19729296.09425558,81393410869.71254,61590415238.576164
2037,42243081.42715306,28138559.112492897,8388629.728253946,29.811866679874093,19398642.542622913,80001604073.74362,59315338695.845184
2038,41722599.677880906,27710370.167187188,8373742.526625298,30.2188042819469,19073225.939991325,78633375284.93266,57135336251.531235
2039,41206497.73416277,27289627.95852278,8357260.808797382,30.624311996849112,18752943.784447942,77288261777.58028,55046041172.74104
2040,40694151.79437683,26876190.54515836,8338899.927850831,31.027090367734615,18437696.518809464,75965813685.89519,53043304602.1866
2041,40179398.19748578,26469723.764243748,8318394.946034923,31.426073880195567,18127252.940461326,74665039617.00136,51112780498.699814
2042,39662056.695554934,25947067.649358924,8295610.068620429,31.971281613494344,17760007.646572746,73200985063.3827,49127986005.51386
2043,39142000.73669533,25437927.544272013,8270465.702679919,32.512340827632485,17400788.27662053,71767996897.44785,47221816409.64489
2044,38619147.63374883,24941872.62276911,8242928.589148581,33.04855539043896,17049354.75835963,70365221053.12086,45390999727.86844
2045,38093450.13967497,24458483.549365323,8213003.341040847,33.57936449520382,16703733.560188197,68981664867.00984,43625979586.47331
2046,37568262.09198485,23990719.414640922,8180725.206100693,34.099541012964394,16366425.1510518,67628031246.377235,41931277386.84448
2047,37043554.85889253,23538145.757294275,8146153.040695528,34.60830400445244,16037211.926680433,66303601445.50278,40304013470.123505
2048,36519318.44743122,23100339.013852283,8109364.884467379,35.104960492590784,15715881.63959239,65007673655.67693,38741428430.39275
2049,35995557.07423393,22673847.167505458,8070453.514396799,35.59366637154897,15400707.720761098,63735003949.97838,37238214566.17722
2050,35472283.7431944,22252853.418272853,8035041.635520523,36.10791607031653,15089333.006689817,62477132900.98681,35787532264.55958
2051,34949426.26362598,21837360.999084305,8003199.08232954,36.649112878910294,14781780.05255739,61234234508.229904,34387830903.39897
2052,34427024.93571662,21427188.917077467,7974936.533655321,37.21877174144527,14441118.901009886,59777634897.29349,32911603771.492886
2053,33905120.17784067,21022063.426237985,7950269.834082849,37.81869397349447,14106053.43704552,58347738520.14077,31494460546.908974
2054,33383715.414677177,20621711.37784212,7929218.191749477,38.45082518354594,13776341.784272373,56943485256.86223,30133808151.720715
2055,32862338.62903995,20225860.202394273,7911329.847456682,39.114924004666875,13451745.316479206,55563834328.8501,28827170057.67087
2056,32345070.476025403,19834238.235999525,7895373.8017005855,39.80679120496965,13163469.605924463,54260585271.18953,27599048171.52557
2057,31831564.63100394,19444527.964691635,7881177.088063676,40.53159378502126,12878511.146035794,52976325713.75847,26417474229.204174
2058,31321494.137062147,19056489.51198779,7868584.53919455,41.29083971234414,12596660.514193287,51710120893.964836,25280452325.255367
2059,30814549.53793833,18664572.44848497,7857457.056717111,42.09824295951077,12314145.000888512,50447440702.40669,24179552215.84867
2060,30294147.145857174,18268811.795100234,7831380.015731882,42.867484232511984,12030928.603599384,49187986027.436584,23113620829.586327
2061,29777792.24648065,17869074.66511039,7808225.261543101,43.696864039573164,11746867.246078605,47931022786.80537,22081342200.713997
2062,29265045.27605515,17465391.235758107,7787714.181302903,44.589405849429674,11461926.831173176,46676274043.4109,21081658843.237694
2063,28755496.24598777,17057787.623295493,7769596.257978384,45.5486750659716,11176043.372037485,45423284223.42911,20113468048.724216
2064,28249961.700859703,16647470.981642338,7753646.319949183,46.57552086139306,10890097.347613236,44175563947.02877,19177427913.88674
2065,27748024.101580672,16234389.601408012,7739661.584243737,47.67448468510621,10603963.193912119,42932400503.55572,18272301677.255352
2066,27249283.478360184,15818492.808789277,7727459.898059632,48.85079755364556,10403163.497480856,42193265500.56673,17605608957.61555
2067,26753362.282869995,15399730.854757175,7716877.737349342,50.11047147597063,10200509.956529697,41448777485.45415,16955846136.489315
2068,26259903.371816497,14978053.10841302,7707768.405037465,51.4604157779898,9995902.71637921,40698377575.390564,16322424410.756178
2069,25768567.563968144,14553021.939217916,7700000.411853136,52.90997597621251,9787455.171018291,39931048339.66985,15700667263.536257
2070,25279031.983523164,14124607.230493525,7693456.022357564,54.46845987864506,9575161.254499283,39146779762.46397,15090487449.44875
2071,24791402.192016885,13965179.502945466,7415910.006362438,53.1028620491295,9468032.153282462,38738092420.93159,14640141865.692783
2072,24305495.683201212,13799974.264031706,7141985.073543876,51.75361154229662,9356174.378911855,38309405389.55992,14194244887.252893
2073,23821138.746176105,13628986.439588385,6871551.246525235,50.41865201777077,9239596.866561294,37860784921.84361,13752964567.017775
2074,23340072.158463083,13457551.742566142,6604487.431557633,49.07644092994779,9132028.860214112,37418875429.02608,13325922099.726505
2075,22862013.40336782,13285522.92127731,6340679.609823723,47.726232888197906,9021654.28663734,36963783148.87914,12905736117.77561
2076,22410066.721396327,13112756.316272452,6103394.638928905,46.54547443511029,8908446.496123133,36495421406.27051,12492362503.708265
2077,21981427.60318659,12939087.655846296,5890014.614153439,45.52109677912369,8792362.64887498,36013637572.73381,12085733494.832842
2078,21573558.925051793,12764357.035236508,5698182.266963901,44.64135758059607,8673360.238235181,35518279719.84405,11685781859.338285
2079,21184185.119908627,12588430.359273067,5525774.936948143,43.89566275733232,8551297.646706723,35008545554.431404,11292230858.02164
2080,20811248.305253718,12411175.48805978,5370881.152091249,43.274556525756374,8426155.225092197,34484390970.91058,10905060231.380913
2081,20452986.354239058,12232515.13924039,5231779.572384977,42.769451031391554,8298228.350825489,33946402832.730476,10524442437.748491
2082,20107809.895622864,12052392.778783832,5106920.000905189,42.372664869460976,8167523.599707637,33394640158.806957,10150371391.495735
2083,19774285.134978145,11870750.808051629,4994906.346555177,42.07742566011291,8034044.71303959,32829148960.950066,9782832497.873615
2084,19451118.370541826,11687523.81759791,4894481.296046849,41.87782949094167,7929636.475843543,32436519836.27652,9476305936.487347
2085,19137143.57070638,11502645.625165433,4804512.522734755,41.768760677312926,7822119.114286831,32028812190.04022,9173720040.127274
2086,18831119.423124973,11316049.160492588,4723788.31950448,41.744148090099436,7711548.232416029,31606342285.513348,8875211613.064344
2087,18532122.76218089,11127666.010279581,4651410.844017188,41.80041744351673,7597975.443271809,31169405972.58608,8580899816.743668
