year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2703371329.687837,8080986155.459379,105737943272.59634,39.973856657373005
2025,10697065626.403437,2857053757.102322,7840011869.301115,111301795893.36798,40.689799655640535
2026,10608721155.584732,3026448830.141273,7582272325.443459,116488139148.6998,41.086680943638854
2027,10518576872.384254,3210955662.628546,7307621209.755709,121288187891.45805,41.20859256406203
2028,10425900698.61232,3409933282.1665792,7015967416.445741,125693254981.4732,41.09798886800109
2029,10329978448.277916,3620301518.619804,6709676929.658112,129697206265.73756,40.82171568518935
2030,10230177871.27663,3841201143.403174,6388976727.873457,133294266616.07068,40.4111017151818
2031,10162643043.950966,4025153762.4594707,6137489281.491495,136587936155.70433,40.37867247404304
2032,10096617380.090328,4216013365.289297,5880604014.801031,139580619828.92038,40.24632192737891
2033,10031503177.991674,4413036591.727674,5618466586.264001,142274644213.95187,40.03030383227162
2034,9920135090.265789,4604027387.256832,5316107703.008957,144637145907.03546,39.83379260126468
2035,9809488312.375872,4798711469.865541,5010776842.51033,146673015732.8487,39.56954335769802
2036,9698974981.530468,4994116760.331449,4704858221.199019,148389238837.2342,39.26628655943171
2037,9588092022.054705,5190118334.082815,4397973687.9718895,149792093653.9078,38.926316679123246
2038,9476346129.422268,5386599200.087054,4089746929.3352137,150887173089.57416,38.551367673547006
2039,9363253212.805552,5583450140.1290245,3779803072.676527,151679404219.09308,38.142699050125735
2040,9248338102.212742,5780569777.829791,3467768324.382951,152173066578.39575,37.70116459187401
2041,9173746059.504553,5949972918.704492,3223773140.800061,152413054100.0116,37.419240608272595
2042,9088279917.772743,6122893705.082369,2965386212.6903744,152389949055.83902,37.08408505999452
2043,9003359042.926704,6293830719.127555,2709528323.7991495,152111439162.857,36.73118622348856
2044,8918555894.512352,6462639458.16664,2455916436.3457117,151584778360.71533,36.360845507601674
2045,8833166002.319536,6628961782.505322,2204204219.8142138,150816732024.43707,35.97431149600707
2046,8747033863.02224,6792577251.161095,1954456611.861145,149813997812.28964,35.571850537428205
2047,8659726650.7683,6953275950.610035,1706450700.1582642,148582919143.5795,35.15347356241881
2048,8570806786.328799,7110864645.450733,1459942140.878066,147129470713.0148,34.718923903120924
2049,8479586419.779062,7253884442.503909,1225701977.2751532,145470281107.68182,34.32359843287493
2050,8385816018.971376,7384666273.780908,1001149745.1904688,143619072399.7805,33.95240812317457
2051,8289410921.432068,7454889355.563728,834521565.8683395,141637533722.5159,33.83192149917775
2052,8180636234.418392,7505722869.795267,674913364.6231251,139535240543.56027,33.76611246231263
2053,8071841903.956682,7547233377.0940695,524608526.8626127,137323863961.72563,33.709172343805236
2054,7962937110.502153,7580398515.614107,382538594.88804626,135013777773.05045,33.657052272661986
2055,7853813437.488069,7606087194.548551,247726242.93951797,132614175040.0478,33.606156526624254
2056,7746939496.369016,7613797326.501524,133142169.86749172,130147039267.95358,33.60650506977595
2057,7639874195.330313,7614927606.576899,24946588.753414154,127620083125.9628,33.608086426898
2058,7532529583.761298,7610167667.728197,-77638083.96689892,125040090470.8986,33.60823976684339
2059,7424204022.6455765,7600285858.650359,-176081836.00478268,122412242155.07228,33.603600299872845
2060,7314809326.525667,7545957849.914657,-231148523.38898945,119780853589.42697,33.780345339959766
2061,7205924788.132833,7366516926.176065,-160592138.04323292,117271617263.35574,34.555879552469435
