year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51948137.47228382,35398137.47228381,9500000.0,26.837570218032948,24359507.760532152,107163203547.67184,107163203547.67184
2024,51846016.72447754,35154291.996455744,9846139.33915504,28.008356248926102,24180121.303709686,109238831500.42268,106887310665.77562
2025,51746416.33293051,34904483.158922866,10186950.008914273,29.185219453135247,23998959.89853674,111348416535.2548,106606148620.04091
2026,51648769.53235459,34648685.17902235,10522521.816251049,30.36918071171656,23816000.350309495,113492258268.27173,106319652946.08765
2027,51552502.369457625,34386872.32522205,10852941.276533306,31.561292268424484,23631219.662092075,115670648345.4591,106027760071.88823
2028,51457033.89126395,34119018.92265788,11178291.926053153,32.762641714266394,23330549.095595654,116785248479.35818,104745050411.53015
2029,51350910.77834146,33845099.35918901,11487789.080097444,33.94225249032542,23028951.471740983,117895863941.22221,103464936255.21268
2030,51234845.5930759,33565094.44499784,11782810.790869374,35.1043576241906,22726399.523104243,119001704467.68254,102187296923.4559
2031,51106158.54857492,33278706.20903931,12064496.646820685,36.252901693466896,22422678.291231852,120077434324.45258,100911167520.32256
2032,50965475.643814996,32985922.075102367,12333956.719205758,37.39157781044834,22117767.964488946,121121527643.63539,99636459429.22786
2033,50813307.65107501,32314320.49004033,12964598.75327063,40.12028895135356,21662685.010359064,121466584204.09483,97826814511.87567
2034,50655630.087889425,31639349.683566935,13581860.621279653,42.92711688803735,21199436.735821776,121082532519.61906,95493054040.5855
2035,50492910.58741326,30960970.746740937,14186572.837714955,45.820826981687205,20732854.84353207,120593724934.75485,93151371822.80916
2036,50325527.0529634,30279144.435002353,14779485.171301063,48.810775360667535,20262912.187296167,119996798468.0972,90801608704.91295
2037,50153775.868545525,29593831.228466537,15361274.778413571,51.90701622856266,19789581.419090487,119288373182.928,88443604846.96779
2038,49972379.06114967,28904991.383012116,15927053.300662419,55.101394391084234,19312835.022392422,118465055181.28937,86077199882.53035
2039,49766142.533693835,28212587.828474052,16462542.466515137,58.3517632859614,18832647.245955065,117523451574.91745,83702241522.42644
2040,49537591.8571628,27516590.963633478,16970454.232365094,61.67353454064718,18348997.290469583,116460194739.4112,81318599562.89182
2041,49283805.99294001,26816806.771991283,17453123.730791315,65.08278140341514,17861754.789955404,115293815717.68806,78925659530.40616
2042,49006990.41889426,26075886.772066884,17912739.876667373,68.69465277727748,17352241.390651494,113936769838.64845,76467332089.8601
2043,48709118.91346531,25344798.706249066,18351272.550602827,72.40646399798827,16845936.50447159,112496033976.595,74019999065.13837
2044,48391955.57929264,24622897.963014554,18770494.502397627,76.23186568287909,16449313.299127381,112397981401.90916,72505375054.18298
2045,48056666.106392145,23909533.403361294,19171592.535901137,80.18388402847677,16053684.207639396,112243818912.84436,70986204262.24884
2046,47704868.23907536,23204650.967849758,19555651.80230923,84.2747078135489,15659208.966008607,112032906405.16154,69463546230.03851
