year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51948137.47228382,35398137.47228381,9500000.0,26.837570218032948,24359507.760532152,99990423059.86697,99990423059.86697
2024,51846016.72447754,35154291.996455744,9846139.33915504,28.008356248926102,24180121.303709686,101606985651.02612,99419751126.24866
2025,51746416.33293051,34904483.158922866,10186950.008914273,29.185219453135247,23998959.89853674,103243394658.69359,98846315174.47237
2026,51648769.53235459,34648685.17902235,10522521.816251049,30.36918071171656,23816000.350309495,104899581906.10602,98270025749.98392
2027,51552502.369457625,34386872.32522205,10852941.276533306,31.561292268424484,23631219.662092075,106575462178.5238,97690794467.29602
2028,51457033.89126395,34119018.92265788,11178291.926053153,32.762641714266394,23330549.095595654,107528345739.98251,96442505726.17192
2029,51350910.77834146,33845099.35918901,11487789.080097444,33.94225249032542,23028951.471740983,108474275541.30942,95196588150.0932
2030,51234845.5930759,33565094.44499784,11782810.790869374,35.1043576241906,22726399.523104243,109412403058.80641,93952920829.93152
2031,51106158.54857492,33278706.20903931,12064496.646820685,36.252901693466896,22422678.291231852,110319324655.59131,92710607231.73872
2032,50965475.643814996,32985922.075102367,12333956.719205758,37.39157781044834,22117767.964488946,111193559228.63792,91469557628.69951
2033,50813307.65107501,32314320.49004033,12964598.75327063,40.12028895135356,21662685.010359064,111367752698.84933,89693412861.34146
2034,50655630.087889425,31639349.683566935,13581860.621279653,42.92711688803735,21199436.735821776,111206906124.7964,87704534050.28358
2035,50492910.58741326,30960970.746740937,14186572.837714955,45.820826981687205,20732854.84353207,110951099734.06998,85703026016.2346
2036,50325527.0529634,30279144.435002353,14779485.171301063,48.810775360667535,20262912.187296167,110596981146.94589,83688764485.8252
2037,50153775.868545525,29593831.228466537,15361274.778413571,51.90701622856266,19789581.419090487,110141172376.90816,81661624407.82751
2038,49972379.06114967,28904991.383012116,15927053.300662419,55.101394391084234,19312835.022392422,109580272658.62228,79621480092.8753
2039,49766142.533693835,28212587.828474052,16462542.466515137,58.3517632859614,18832647.245955065,108910872392.5159,77568213180.03342
2040,49537591.8571628,27516590.963633478,16970454.232365094,61.67353454064718,18348997.290469583,108129575851.08752,75501725711.64618
2041,49283805.99294001,26816806.771991283,17453123.730791315,65.08278140341514,17861754.789955404,107253349550.23618,73421469290.47208
2042,49006990.41889426,26075886.772066884,17912739.876667373,68.69465277727748,17352241.390651494,106194773970.14003,71271382003.21176
2043,48709118.91346531,25344798.706249066,18351272.550602827,72.40646399798827,16845936.50447159,105060952792.71692,69127873691.23955
2044,48391955.57929264,24622897.963014554,18770494.502397627,76.23186568287909,16449313.299127381,104814814201.10123,67613646794.16087
2045,48056666.106392145,23909533.403361294,19171592.535901137,80.18388402847677,16053684.207639396,104509617559.7214,66094873921.07028
2046,47704868.23907536,23204650.967849758,19555651.80230923,84.2747078135489,15659208.966008607,104144661383.28833,64572612928.98549
2047,47337509.56388154,22507621.20569196,19923665.360734046,88.51964043048469,15265588.731355572,103716141901.81357,63045998846.92186
2048,46955445.71497092,21817808.420161232,20276543.19585752,92.93574682377597,14872521.364203732,103220050104.68047,61514156080.907845
2049,46553091.18416843,21480543.10544157,20259876.847684354,94.31733987467015,14617808.616868485,103504566821.93379,60474229685.76918
2050,46132035.10025881,21141489.248568054,20229096.794599567,95.68435107271223,14359685.475782515,103727269755.75676,59416026964.32614
2051,45693645.66005232,20800349.887033235,20185712.50225617,97.04506227964835,14098039.300764605,103884588654.1773,58339353742.209045
2052,45239242.93959442,20462244.589483272,20130974.52482704,98.38106683161001,13824250.118450439,103861216714.03839,57182577022.16906
2053,44770023.47468937,20126887.48216103,20066016.57506032,99.69756423016393,13553469.37584179,103821839493.3433,56040095310.66789
2054,44292214.78514995,19793983.21924223,19997019.13721822,101.02574563051367,13285372.815858401,103763453799.31673,54910372904.71677
2055,43806616.13789284,19463224.824701723,19924740.434609827,102.3712186138978,13019628.330840806,103682778383.65149,53791843572.7072
2056,43316500.70215388,19134295.98877879,19849856.964720305,103.7396775735107,12770305.3275425,103623837641.00261,52707121983.273056
2057,42822561.018816724,18806349.778444204,19772970.6346106,105.1398642881477,12523211.63011479,103538280222.32556,51630984456.8749
2058,42305467.9080078,18479258.093756054,19674662.06645157,106.46889591903816,12278096.526933867,103422677794.09427,50562095584.44482
2059,41768243.52883005,18148030.779855,19557853.268601656,107.76845987230533,12031432.933112172,103247225225.04495,49486587202.65592
2060,41213602.184887074,17812737.27150508,19425160.47936024,109.05207988687143,11783120.71718471,103007772567.09328,48403742252.996994
2061,40643686.09695885,17473307.686255578,19278784.65407846,110.33277156358359,11532968.22288359,102699152490.45007,47312471088.95844
2062,40060686.34865393,17129790.994879466,19120819.17084154,111.62319012857334,11282531.424981244,102339546579.43011,46222357104.86713
2063,39466569.02516176,16782223.9177622,18953135.106139522,112.93577775517369,11031739.068307597,101925991793.82393,45132913974.1547
2064,38863250.72451092,16430742.85522342,18777403.574084066,114.28213404310341,10780611.696610283,101456326603.4231,44044064546.13606
2065,38252261.52171446,16075270.614020389,18595115.77431833,115.67528921161802,10528998.842122955,100926628688.69063,42955012648.67204
2066,37634964.2720498,15715723.689910565,18407601.22473648,117.12856237447143,10318283.793233722,100914093389.33331,42107527005.72643
2067,37012577.68739681,15352108.100794591,18216044.096277148,118.65500149347127,10109034.457058096,100888036763.58879,41271229989.261185
2068,36386191.07933392,14984426.665200446,18021497.92317084,120.2681846014411,9901189.227395896,100847542509.71527,40445749626.655754
2069,35756777.473939896,14612310.369097047,17824898.85216084,121.98549306657188,9693039.530629538,100767178681.45981,39621097099.80094
2070,35125205.61714387,14235774.16271018,17627077.575257722,123.82240244742624,9484588.695293358,100645434855.72612,38797282452.1046
2071,34492599.41719694,13990745.57146082,17293131.891747016,123.60407673357025,9330238.86422852,100999047060.5791,38170190756.933014
2072,33859700.53759198,13749227.396768251,16951713.047821052,123.29211350308704,9178786.30113248,101359970385.29877,37555483484.630486
2073,33227175.891980004,13511202.908548098,16603413.854545875,122.886274204656,9030216.893928938,101728852046.26643,36953098054.45969
2074,32614861.33536303,13279195.43900467,16267498.935105586,122.50364873253874,8889339.69360255,102133568428.20418,36372658478.81628
2075,32020629.46970693,13053214.829175312,15942019.982222462,122.13098605096397,8751236.019463493,102552594521.97351,35805770144.33556
2076,31444570.85055676,12833274.146415126,15627232.135293096,121.77120162011377,8615944.860575985,102986909514.15466,35252362000.8501
2077,30885033.082082275,12619388.388772491,15321634.330514722,121.41344618687246,8483533.234070979,103438039838.8162,34712533000.729515
2078,30340534.459791623,12411575.3433904,15023881.770432234,121.04733971931275,8354068.934367297,103907593675.84052,34186381851.88441
2079,29809750.402605563,12209858.164822519,14732770.13691599,120.66290974093509,8227511.630624864,104395157878.96805,33673327599.286793
2080,29291496.342943076,12014259.671468286,14447221.377797682,120.25061695734149,8103936.307139782,104902499960.65991,33173503961.790367
2081,28784781.42880025,11824823.084570888,14166270.912376614,119.80112354374978,7983703.481132802,105433142561.2335,32687558837.5082
2082,28288726.740046345,11641595.27753443,13889056.067313729,119.3054365505763,7866882.924532606,105989179592.19223,32215634940.955338
2083,27802554.974305138,11464623.621050265,13614805.704880435,118.75492955461885,7753544.349638294,106572809480.08466,31757873017.409267
2084,27325488.906213317,11293949.59140636,13342830.883468382,118.14140638294532,7654324.271086413,107406160864.96414,31378632632.520187
2085,26856832.974451672,11129615.533008846,13072516.511453146,117.45703589384497,7555146.406248512,108216671032.50406,30995512347.95562
2086,26395966.756770663,10971664.811163979,12803313.776237411,116.69435766219979,7456264.998422121,109007398201.93892,30609797163.24882
2087,25942338.335998278,10820141.645644112,12534733.324462622,115.84629605573377,7357936.267774458,109781738399.82773,30222779983.211998
2088,25495458.327319242,10675091.164651718,12266339.118572386,114.90617671903117,7260418.483073458,110543446040.71663,29835761937.971886
2089,25054911.744621366,10570449.51288964,11963895.822808819,113.18246975419545,7177582.550118983,111481414612.90474,29498941553.00187
2090,24620328.16534082,10459976.571986467,11673390.381202495,111.60054041101534,7091159.824747299,112354197102.5362,29146948342.795353
2091,24191460.078532748,10344358.65468604,11393925.093702437,110.14626884133547,7002907.032023133,113187426885.62852,28787357823.73847
