year,workers,pensioners,avg_pension,fund_income,premium_income,benefit_payment,fund_balance,net_balance
2081,22312210,7093644,46922726,-299658392661844,209389944660560,332853130173158,-7082196970659854,-423121578174442
2082,22200649,7058176,47814257,-318698863679693,212301511841065,337481452948216,-7526075775446698,-443878804786844
2083,22089646,7022885,48722728,-338673409895101,215253564363215,342174132551461,-7991669753530045,-465593978083347
2084,21979198,6987771,49648460,-359625138908852,218246665175686,346932063864589,-8479980291127800,-488310537597755
2085,21869302,6952832,50591781,-381599113100751,221281385054954,351756154212626,-8992054173386223,-512073882258423
2086,21759955,6918068,51553025,-404642437802380,224358302714143,356647323536952,-9528985632011412,-536931458625190
2087,21651156,6883478,52532532,-428804353440514,227478004913383,361606504570734,-10091918485109276,-562932853097864
2088,21542900,6849060,53530650,-454136331829917,230641086571703,366634643016790,-10682048373384280,-590129888275004
2089,21435185,6814815,54547733,-480692176802293,233848150880483,371732697727938,-11300625097034028,-618576723649748
2090,21328009,6780741,55584139,-508528129366531,237099809418476,376901640889845,-11948955057871928,-648329960837900
2091,21221369,6746837,56640238,-537702977604237,240396682268440,382142458206418,-12628403811414144,-679448753542215
2092,21115262,6713103,57716403,-568278171513636,243739398135382,387456149087779,-13340398733880176,-711994922466033
